frame,distance_m,cpu_ms,live_ms,far_field_ms,lookahead_ms,draw_ms,packages_built,far_tiles_built,resident_packages,resident_cells
67,264.0,83.9393,82.5702,0.0000,0.0000,0.2904,62,0,4394,13549
68,268.0,7.2800,6.0579,0.0000,0.0000,0.2154,4,0,4398,13549
69,272.0,82.3279,80.9189,0.0000,0.0000,0.3042,62,0,4393,13549
70,276.0,7.3510,5.8019,0.0000,0.0000,0.2006,4,0,4397,13549
71,280.0,81.6316,80.2163,0.0000,0.0000,0.3230,62,0,4392,13549
72,284.0,7.9877,6.4086,0.0000,0.0000,0.2112,4,0,4396,13549
73,288.0,79.6169,78.2017,0.0000,0.0000,0.2841,62,0,4391,13549
74,292.0,7.3026,5.8044,0.0000,0.0000,0.2006,4,0,4395,13549
75,296.0,81.1572,79.8096,0.0000,0.0000,0.2993,62,0,4390,13549
76,300.0,6.8150,5.3408,0.0000,0.0000,0.1963,4,0,4394,13549
77,304.0,89.1414,87.5387,0.0000,0.0000,0.3580,62,0,4389,13549
78,308.0,5.3340,4.2416,0.0000,0.0000,0.1978,4,0,4393,13549
79,312.0,86.0315,84.6607,0.0000,0.0000,0.2901,62,0,4388,13549
80,316.0,6.0793,4.6091,0.0000,0.0000,0.2028,4,0,4392,13549
81,320.0,87.4792,86.1009,0.0000,0.0000,0.3139,62,0,4387,13549
82,324.0,6.9472,5.4158,0.0000,0.0000,0.2073,4,0,4391,13549
83,328.0,100.0481,98.5837,0.0000,0.0000,0.3861,62,0,4386,13549
84,332.0,7.9114,6.1737,0.0000,0.0000,0.2072,4,0,4390,13549
85,336.0,83.3902,81.9507,0.0000,0.0000,0.3072,62,0,4385,13549
86,340.0,7.2517,5.7273,0.0000,0.0000,0.2026,4,0,4389,13549
87,344.0,82.3348,80.9418,0.0000,0.0000,0.2940,62,0,4384,13549
88,348.0,6.0411,4.5546,0.0000,0.0000,0.1958,4,0,4388,13549
89,352.0,81.9955,80.4862,0.0000,0.0000,0.2843,62,0,4383,13549
90,356.0,6.2933,4.7536,0.0000,0.0000,0.1956,4,0,4387,13549
91,360.0,83.2425,81.8584,0.0000,0.0000,0.3112,62,0,4382,13549
92,364.0,5.9624,4.3922,0.0000,0.0000,0.2088,4,0,4386,13549
93,368.0,88.4077,86.9496,0.0000,0.0000,0.3451,62,0,4381,13549
94,372.0,7.6859,5.9956,0.0000,0.0000,0.2409,4,0,4385,13549
95,376.0,86.8160,84.8769,0.0000,0.0000,0.2939,62,0,4380,13549
96,380.0,7.5615,6.0691,0.0000,0.0000,0.2013,4,0,4384,13549
97,384.0,85.4752,84.0764,0.0000,0.0000,0.3065,62,0,4379,13549
98,388.0,9.8344,8.2896,0.0000,0.0000,0.1968,4,0,4383,13549
99,392.0,83.9157,82.4808,0.0000,0.0000,0.2859,62,0,4378,13549
100,396.0,9.5552,8.0679,0.0000,0.0000,0.1998,4,0,4382,13549
101,400.0,85.7679,84.3128,0.0000,0.0000,0.6531,62,0,4377,13549
102,404.0,8.5938,6.3282,0.0000,0.0000,0.2441,4,0,4381,13549
103,408.0,83.0552,81.5250,0.0000,0.0000,0.3009,62,0,4376,13549
104,412.0,6.8096,5.2813,0.0000,0.0000,0.2149,4,0,4380,13549
105,416.0,81.3740,79.9476,0.0000,0.0000,0.3244,62,0,4375,13549
106,420.0,5.9285,4.4007,0.0000,0.0000,0.2005,4,0,4379,13549
107,424.0,85.8439,84.3700,0.0000,0.0000,0.5082,62,0,4374,13549
108,428.0,7.0505,5.0252,0.0000,0.0000,0.2439,4,0,4378,13549
109,432.0,88.9209,87.6289,0.0000,0.0000,0.3366,62,0,4373,13549
110,436.0,7.2521,5.5539,0.0000,0.0000,0.2183,4,0,4377,13549
111,440.0,86.0801,84.6297,0.0000,0.0000,0.3196,62,0,4372,13549
112,444.0,8.6742,7.1749,0.0000,0.0000,0.1966,4,0,4376,13549
113,448.0,85.0623,83.6416,0.0000,0.0000,0.3171,62,0,4371,13549
114,452.0,9.2181,7.6346,0.0000,0.0000,0.2095,4,0,4375,13549
115,456.0,218.8131,217.3292,0.0000,0.0000,0.5750,62,0,4370,13549
116,460.0,161.4858,159.3532,0.0000,0.0000,0.6498,4,0,4374,13549
117,464.0,84.8046,82.5343,0.0000,0.0000,0.3663,62,0,4369,13549
118,468.0,7.7541,6.1580,0.0000,0.0000,0.2840,4,0,4373,13549
119,472.0,81.8361,80.6963,0.0000,0.0000,0.3232,62,0,4368,13549
120,476.0,5.8375,4.4466,0.0000,0.0000,0.2095,4,0,4372,13549
121,480.0,81.5501,80.1843,0.0000,0.0000,0.3248,62,0,4367,13549
122,484.0,6.8818,5.3687,0.0000,0.0000,0.2076,4,0,4371,13549
123,488.0,80.3843,79.0101,0.0000,0.0000,0.2863,62,0,4366,13549
124,492.0,7.2536,5.8576,0.0000,0.0000,0.2126,4,0,4370,13549
125,496.0,93.4499,92.0040,0.0000,0.0000,0.7295,62,0,4365,13549
126,500.0,10.0080,7.7437,0.0000,0.0000,0.2630,4,0,4369,13549
127,504.0,83.2152,81.8114,0.0000,0.0000,0.2908,62,0,4364,13549
128,508.0,9.0416,7.6649,0.0000,0.0000,0.2092,4,0,4368,13549
129,512.0,82.5219,81.1779,0.0000,0.0000,0.2980,62,0,4363,13549
130,512.0,8.3059,8.2127,0.0000,0.0000,0.2096,4,0,4367,13549
131,512.0,5.2364,5.1437,0.0000,0.0000,0.2025,4,0,4371,13549
132,512.0,4.2701,4.1747,0.0000,0.0000,0.2056,4,0,4375,13549
133,512.0,5.5240,5.4365,0.0000,0.0000,0.2015,4,0,4379,13549
134,512.0,6.6349,6.5436,0.0000,0.0000,0.2012,4,0,4383,13549
135,512.0,5.8048,5.7115,0.0000,0.0000,0.2058,4,0,4387,13549
136,512.0,5.1915,5.1054,0.0000,0.0000,0.2016,4,0,4391,13549
137,512.0,6.2084,6.1205,0.0000,0.0000,0.2090,4,0,4395,13549
138,512.0,6.4683,6.3758,0.0000,0.0000,0.2029,4,0,4399,13549
139,512.0,5.7182,5.6245,0.0000,0.0000,0.2062,4,0,4403,13549
140,512.0,5.0742,4.9765,0.0000,0.0000,0.2117,4,0,4407,13549
141,512.0,5.9434,5.8429,0.0000,0.0000,0.2063,4,0,4411,13549
142,512.0,6.3605,6.2556,0.0000,0.0000,0.2202,4,0,4415,13549
143,512.0,7.9739,7.8759,0.0000,0.0000,0.2209,4,0,4419,13549
144,512.0,4.6422,4.4567,0.0000,0.0000,0.3106,4,0,4423,13549
145,512.0,5.6259,5.5154,0.0000,0.0000,0.2597,4,0,4427,13549
146,512.0,6.2887,6.1924,0.0000,0.0000,0.2404,4,0,4431,13549
147,512.0,6.0138,5.9213,0.0000,0.0000,0.2079,4,0,4435,13549
148,512.0,4.5449,4.4538,0.0000,0.0000,0.2164,4,0,4439,13549
149,512.0,5.4011,5.3088,0.0000,0.0000,0.2078,4,0,4443,13549
150,512.0,4.8442,4.7520,0.0000,0.0000,0.2140,4,0,4447,13549
151,512.0,5.9703,5.8847,0.0000,0.0000,0.2045,4,0,4451,13549
152,512.0,5.6934,5.6026,0.0000,0.0000,0.2131,4,0,4455,13549
153,512.0,5.0965,4.9986,0.0000,0.0000,0.2120,4,0,4459,13549
154,512.0,7.9616,7.8745,0.0000,0.0000,0.2069,4,0,4463,13549
155,512.0,4.7199,4.6276,0.0000,0.0000,0.2074,4,0,4467,13549
156,512.0,6.7446,6.6492,0.0000,0.0000,0.2106,4,0,4471,13549
157,512.0,5.3882,5.3030,0.0000,0.0000,0.2047,4,0,4475,13549
158,512.0,6.8485,6.7567,0.0000,0.0000,0.2133,4,0,4479,13549
159,512.0,5.0688,4.9820,0.0000,0.0000,0.2102,4,0,4483,13549
160,512.0,5.0205,4.9344,0.0000,0.0000,0.2068,4,0,4487,13549
161,512.0,3.8051,3.7166,0.0000,0.0000,0.2042,2,0,4489,13549
162,512.0,0.8927,0.0981,0.0000,0.0000,0.1682,0,0,4489,13549
163,512.0,0.8917,0.1139,0.0000,0.0000,0.1898,0,0,4489,13549
164,512.0,0.7957,0.1077,0.0000,0.0000,0.1786,0,0,4489,13549
165,512.0,0.7834,0.1174,0.0000,0.0000,0.1913,0,0,4489,13549
166,512.0,0.7848,0.1099,0.0000,0.0000,0.1821,0,0,4489,13549
167,512.0,0.7685,0.1096,0.0000,0.0000,0.1811,0,0,4489,13549
168,512.0,0.7851,0.1092,0.0000,0.0000,0.1801,0,0,4489,13549
169,512.0,0.7727,0.1087,0.0000,0.0000,0.1799,0,0,4489,13549
170,512.0,0.8099,0.1092,0.0000,0.0000,0.2047,0,0,4489,13549
171,512.0,0.7851,0.1087,0.0000,0.0000,0.1807,0,0,4489,13549
172,512.0,0.7854,0.1083,0.0000,0.0000,0.1791,0,0,4489,13549
173,512.0,0.7859,0.1085,0.0000,0.0000,0.1785,0,0,4489,13549
174,512.0,0.7793,0.1086,0.0000,0.0000,0.1792,0,0,4489,13549
175,512.0,0.7825,0.1078,0.0000,0.0000,0.1838,0,0,4489,13549
176,512.0,0.8071,0.1090,0.0000,0.0000,0.1799,0,0,4489,13549
177,512.0,0.7949,0.1093,0.0000,0.0000,0.1810,0,0,4489,13549
178,512.0,1.0809,0.1084,0.0000,0.0000,0.1789,0,0,4489,13549
179,512.0,0.8071,0.1051,0.0000,0.0000,0.1685,0,0,4489,13549
180,512.0,0.6673,0.0807,0.0000,0.0000,0.1245,0,0,4489,13549
181,512.0,0.8456,0.0716,0.0000,0.0000,0.1120,0,0,4489,13549
182,512.0,0.9564,0.1084,0.0000,0.0000,0.1791,0,0,4489,13549
183,512.0,0.8482,0.1059,0.0000,0.0000,0.1784,0,0,4489,13549
184,512.0,0.8621,0.1063,0.0000,0.0000,0.1796,0,0,4489,13549
185,512.0,0.7736,0.1024,0.0000,0.0000,0.1705,0,0,4489,13549
186,512.0,0.7589,0.1063,0.0000,0.0000,0.1758,0,0,4489,13549
187,512.0,0.7784,0.1059,0.0000,0.0000,0.1740,0,0,4489,13549
188,512.0,0.7799,0.1059,0.0000,0.0000,0.1752,0,0,4489,13549
