BodyId,Type,WaterMass,SurfaceBefore,SurfaceAfter,Iterations,Residual,MaxLocalError,InputRevision,OutputRevision
fc0f70f2eddd60a2,lake,164180,-5.220974797,-5.220969396,64,0.000011280,0.000018704,1,2
fc11bea82d7eaa57,wetland,4992,-3.796974547,-3.796974547,1,0.000000000,0.000000000,1,1
fc1b4e604ba4ad84,lake,9632,-5.383161322,-5.383174958,64,0.000000000,0.000013636,1,2
fc2571866b8cd2d5,lake,36725,-6.945696540,-6.945712319,64,0.000000000,0.000015779,1,2
fc2852a9acf03eae,lake,103669,-6.408831102,-6.408825887,64,0.000013164,0.000017359,1,2
fc36d6aca29272c3,lake,30357,-5.726403188,-5.726417953,64,0.000000000,0.000014765,1,2
fc38e9d438ab37d2,river,11013,-5.461808777,-5.461811620,1,0.000000000,0.000002843,1,2
fc3fd2f6bef653cc,lake,3263,-9.192917695,-9.192921386,64,0.000000000,0.000003691,1,2
fc49f61cdede791d,wetland,4992,-6.098074916,-6.098074916,1,0.000000000,0.000000000,1,1
fc4f7dd5b81ccc29,mixed,13103,-5.489917078,-5.489910065,1,0.097492987,0.000014025,1,2
fc5b5b4315e4190b,wetland,9984,-6.373307702,-6.373307702,1,1.660590760,0.155000000,1,2
fc60e2fbef226c17,lake,72190,-9.340919910,-9.340917010,64,0.000000000,0.000002900,1,2
fc62f623853b3126,river,13830,-5.138075267,-5.138069634,1,0.000000000,0.000005632,1,2
fc6b999010ccb38c,lake,31442,-6.409184403,-6.409182104,64,0.000000000,0.000002299,1,2
fc708ddae848e474,wetland,4992,-5.159425632,-5.159425632,1,0.000000000,0.000000000,1,1
fc7c6b4846103156,lake,6787,-6.191726671,-6.191744557,64,0.000000000,0.000017886,1,2
fcb622768bc6a307,mixed,262921,-5.206751483,-5.206746804,1,0.577405357,0.864453024,1,2
fcd23e30e4768a6a,lake,10110,-5.726403188,-5.726388302,64,0.000000000,0.000014886,1,2
fcd4e4c67c51719d,wetland,9984,31.721581876,31.721581876,1,0.511489246,0.155000000,1,2
fce6dd5ab51933af,river,11957,17.011831046,17.011837297,1,0.000000000,0.000006251,1,2
fce770c8b6db55d3,wetland,4992,-5.631656868,-5.631656868,1,0.000000000,0.000000000,1,1
fd1f14cf66790275,mixed,213966,-6.575533022,-6.575532008,1,1.294679922,1.561448163,1,2
fd1fa83d683b2499,mixed,31113,-6.980009312,-6.980011732,1,1.932798310,0.000011855,1,2
fd277dab811ac15a,wetland,4992,-6.128468844,-6.128468844,1,0.000000000,0.000000000,1,1
fd2990d317338669,wetland,4992,-8.467880389,-8.467880389,1,0.000000000,0.000000000,1,1
fd4237fc2cbddfcf,river,11664,-6.279703841,-6.279713930,1,0.000000000,0.000010088,1,2
fd58cbfdac2f7426,lake,13313,-8.566946039,-8.566949080,64,0.000000000,0.000003041,1,2
fd717326c1b9cd8c,mixed,63984,-6.017017803,-6.017014110,1,0.417313091,0.000007386,1,2
fd7667719935fe74,river,18997,-5.565464667,-5.565453194,1,0.000000000,0.000011473,1,2
fd8d8ee11a69b4ef,lake,153687,-9.871464161,-9.871475243,64,0.000000000,0.000011082,1,2
fd90c8e1ec9f7f6b,lake,12410,-10.477166354,-10.477150563,64,0.000000000,0.000015791,1,2
fd931699f3a807fb,mixed,135551,-6.073355237,-6.073355764,1,0.733352094,1.002803486,1,2
fd95f7bd350b73d4,wetland,4992,-4.414272396,-4.414272396,1,0.000000000,0.000000000,1,1
fd996c4e783101d1,mixed,7886,-6.150725947,-6.150731803,1,0.712499854,0.000011711,1,2
fdae0b7848d3ab16,wetland,4992,28.874627929,28.874627929,1,0.000000000,0.000000000,1,1
fdb26c551e8db9da,lake,10717,-9.938096470,-9.938100230,64,0.000000000,0.000003760,1,2
fdb707c265378c1f,mixed,100150,-6.049281385,-6.049284510,1,1.530738549,0.193984375,1,2
fdc4f85759179e10,wetland,4992,-3.663034512,-3.663034512,1,0.000000000,0.000000000,1,1
fdc7460f602026a0,wetland,9984,-4.340393517,-4.340393517,1,0.036709901,0.155000000,1,2
fdc86ce89c3d2c0d,mixed,473884,-5.877029098,-5.877029760,1,1.131555902,2.228596255,1,2
fded4a5f67c86fd3,mixed,125444,-13.128026682,-13.128026826,1,0.126698680,0.184392118,1,2
fdf9bb3ac751ded9,river,11752,-10.168075027,-10.168070253,1,0.000000000,0.000004774,1,2
fe1ffa1b3fe9eb8d,lake,64562,-6.626546710,-6.626544264,64,0.000000000,0.000002446,1,2
fe24ee6617661c75,river,11961,16.073902972,16.073917552,1,0.000000000,0.000014580,1,2
fe315f4176ef8b7b,river,32266,-16.858845643,-16.858833799,1,0.000000000,0.000011844,1,2
fe3372690d08508a,river,11637,-5.753453935,-5.753447027,1,0.000000000,0.000006908,1,2
fe3b826796d7b0cc,wetland,4992,-5.117705762,-5.117705762,1,0.000000000,0.000000000,1,1
fe4ce78dcddd50ba,mixed,163260,-6.277440613,-6.277435229,1,0.987411203,1.047314988,1,2
fe670e7077be4d0b,river,25648,-6.656211615,-6.656210044,1,0.000000000,0.000001570,1,2
fe68354c7b429153,lake,46385,-6.531018206,-6.531009759,64,0.000000000,0.000008446,1,2
fe799a72b2483141,lake,19502,-5.750344143,-5.750348296,64,0.000000000,0.000004153,1,2
fe816fe0cb27ce02,wetland,4992,-6.048701675,-6.048701675,1,0.000000000,0.000000000,1,1
fe87322a1555e48f,lake,89492,-6.063285060,-6.063270892,64,0.000000000,0.000014167,1,2
fe9c64c1e7baaff8,lake,8334,-9.629877875,-9.629894294,64,0.000000000,0.000016419,1,2
fea8422f4581fcda,mixed,40351,-7.739901159,-7.739895236,1,1.095979352,0.155000000,1,2
feb2f8c3672c444f,wetland,4992,-5.962888945,-5.962888945,1,0.000000000,0.000000000,1,1
feb351a0f7fea2f2,lake,121812,-7.218064383,-7.218063156,64,0.000008484,0.000012130,1,2
feb41f9ca34949bc,mixed,103495,-6.898767558,-6.898767530,1,1.458943575,1.585544400,1,2
febd74c717e6c843,lake,29824,-5.220974797,-5.220975597,64,0.000000000,0.000000799,1,2
fed742c9698e2716,lake,153741,-8.167945569,-8.167934565,64,0.000000000,0.000011003,1,2
fed77d59da7dea97,wetland,9984,-11.600938183,-11.600938183,1,0.451250188,0.155000000,1,2
feee6a38eac1dd91,wetland,4992,42.742094329,42.742094329,1,0.000000000,0.000000000,1,1
