frame,elapsed_s,x,y,frame_ms,cpu_ms,draw_ms,finish_ms,present_ms,terrain_ms,complete_radius_m,pending_packages
60,0.045222,2.000,-11.774,0.680400,0.643000,0.148800,0.000000,0.469200,0.000100,192.000,0
61,0.046265,2.000,-11.770,1.043400,1.006000,0.155700,0.000000,0.812900,0.000000,192.000,0
62,0.047011,2.000,-11.765,0.745500,0.705000,0.162800,0.000000,0.515300,0.000000,192.000,0
63,0.047705,2.000,-11.761,0.694100,0.655500,0.150800,0.000000,0.479900,0.000000,192.000,0
64,0.048402,2.000,-11.758,0.696900,0.659800,0.148900,0.000000,0.485800,0.000000,192.000,0
65,0.049089,2.000,-11.754,0.687200,0.649500,0.148900,0.000000,0.475500,0.000000,192.000,0
66,0.049785,2.000,-11.751,0.695900,0.658700,0.147900,0.000000,0.485500,0.000100,192.000,0
67,0.050496,2.000,-11.748,0.711100,0.654100,0.148900,0.000000,0.479700,0.000100,192.000,0
68,0.051183,2.000,-11.744,0.686800,0.649700,0.150000,0.000000,0.474800,0.000000,192.000,0
69,0.051893,2.000,-11.741,0.710100,0.669300,0.148300,0.000000,0.494400,0.000000,192.000,0
70,0.052654,2.000,-11.737,0.761300,0.709400,0.147200,0.000000,0.536600,0.000100,192.000,0
71,0.053455,2.000,-11.733,0.801500,0.708400,0.325900,0.000000,0.323300,0.000100,192.000,0
72,0.054230,2.000,-11.729,0.775000,0.734000,0.162000,0.000000,0.545800,0.000100,192.000,0
73,0.054991,2.000,-11.725,0.760600,0.717700,0.150100,0.000000,0.542600,0.000000,192.000,0
74,0.055742,2.000,-11.721,0.751400,0.711500,0.161400,0.000000,0.523400,0.000100,192.000,0
75,0.056411,2.000,-11.718,0.669000,0.630200,0.150000,0.000000,0.455300,0.000000,192.000,0
76,0.057101,2.000,-11.714,0.689500,0.651700,0.148900,0.000000,0.478600,0.000100,192.000,0
77,0.057795,2.000,-11.711,0.694400,0.658000,0.146900,0.000000,0.486100,0.000000,192.000,0
78,0.058504,2.000,-11.707,0.708700,0.672200,0.149800,0.000000,0.497800,0.000000,192.000,0
79,0.059191,2.000,-11.704,0.687400,0.651100,0.146700,0.000000,0.479500,0.000100,192.000,0
80,0.059880,2.000,-11.700,0.688100,0.651800,0.145700,0.000000,0.481400,0.000000,192.000,0
81,0.060590,2.000,-11.697,0.710000,0.654600,0.145000,0.000000,0.485100,0.000000,192.000,0
82,0.061477,2.000,-11.693,0.887600,0.847600,0.148400,0.000000,0.674100,0.000000,192.000,0
83,0.062244,2.000,-11.689,0.767000,0.732300,0.136100,0.000000,0.579400,0.000000,192.000,0
84,0.062964,2.000,-11.685,0.720000,0.672700,0.172200,0.000000,0.472800,0.000000,192.000,0
85,0.063624,2.000,-11.682,0.660100,0.621600,0.153600,0.000000,0.443300,0.000100,192.000,0
86,0.064308,2.000,-11.678,0.684100,0.644200,0.149400,0.000000,0.469700,0.000000,192.000,0
87,0.065062,2.000,-11.675,0.753600,0.712700,0.161200,0.000000,0.525600,0.000100,192.000,0
88,0.065754,2.000,-11.671,0.692300,0.650300,0.153000,0.000000,0.472700,0.000000,192.000,0
89,0.066470,2.000,-11.668,0.716100,0.678700,0.148300,0.000000,0.505300,0.000000,192.000,0
90,0.067161,2.000,-11.664,0.690200,0.651700,0.148300,0.000000,0.478800,0.000000,192.000,0
91,0.067853,2.000,-11.661,0.692700,0.655000,0.146900,0.000000,0.482400,0.000000,192.000,0
92,0.068541,2.000,-11.657,0.688100,0.651500,0.145500,0.000000,0.481100,0.000000,192.000,0
93,0.069446,2.000,-11.654,0.904900,0.864600,0.144500,0.000000,0.695200,0.000000,192.000,0
94,0.070304,2.000,-11.649,0.857600,0.797400,0.161400,0.000000,0.609800,0.000100,192.000,0
95,0.071095,2.000,-11.645,0.791100,0.748800,0.162000,0.000000,0.561300,0.000000,192.000,0
96,0.071856,2.000,-11.641,0.760900,0.721900,0.158300,0.000000,0.537700,0.000000,192.000,0
97,0.072631,2.000,-11.637,0.775500,0.732900,0.149000,0.000000,0.558900,0.000000,192.000,0
98,0.073360,2.000,-11.633,0.728800,0.685300,0.167900,0.000000,0.491400,0.000000,192.000,0
99,0.074046,2.000,-11.630,0.685900,0.644400,0.152000,0.000000,0.467600,0.000000,192.000,0
100,0.074788,2.000,-11.626,0.742200,0.703000,0.161000,0.000000,0.516400,0.000100,192.000,0
101,0.075472,2.000,-11.623,0.683600,0.647300,0.148600,0.000000,0.474300,0.000000,192.000,0
102,0.076161,2.000,-11.619,0.689200,0.651200,0.146400,0.000000,0.480000,0.000000,192.000,0
103,0.077035,2.000,-11.616,0.873500,0.833000,0.181300,0.000000,0.626800,0.000000,192.000,0
104,0.077775,2.000,-11.611,0.740800,0.701700,0.158800,0.000000,0.517200,0.000000,192.000,0
105,0.078473,2.000,-11.608,0.697500,0.659200,0.148100,0.000000,0.486600,0.000000,192.000,0
106,0.079161,2.000,-11.604,0.687900,0.650500,0.147700,0.000000,0.478100,0.000000,192.000,0
107,0.079856,2.000,-11.601,0.695100,0.659300,0.145600,0.000000,0.489000,0.000000,192.000,0
108,0.080574,2.000,-11.597,0.717800,0.663000,0.145800,0.000000,0.492500,0.000000,192.000,0
109,0.081270,2.000,-11.594,0.696100,0.659000,0.147100,0.000000,0.486900,0.000000,192.000,0
110,0.081972,2.000,-11.590,0.701800,0.666000,0.147400,0.000000,0.493600,0.000000,192.000,0
111,0.082660,2.000,-11.587,0.688000,0.650800,0.146100,0.000000,0.480200,0.000000,192.000,0
112,0.083355,2.000,-11.583,0.695700,0.660400,0.144000,0.000000,0.491900,0.000000,192.000,0
113,0.084034,2.000,-11.580,0.679000,0.643500,0.144200,0.000000,0.474600,0.000100,192.000,0
114,0.084705,2.000,-11.576,0.670200,0.635300,0.145200,0.000000,0.465500,0.000000,192.000,0
115,0.085404,2.000,-11.573,0.699600,0.664000,0.144500,0.000000,0.494800,0.000100,192.000,0
116,0.086336,2.000,-11.569,0.931800,0.886200,0.144000,0.000000,0.716900,0.000000,192.000,0
117,0.087499,2.000,-11.565,1.163200,1.084400,0.271700,0.000000,0.768400,0.000100,192.000,0
118,0.088450,2.000,-11.559,0.950900,0.915600,0.130300,0.000000,0.768900,0.000000,192.000,0
119,0.089191,2.000,-11.554,0.741100,0.685900,0.158900,0.000000,0.500000,0.000000,192.000,0
120,0.089966,2.000,-11.551,0.774500,0.739000,0.110600,0.000000,0.611900,0.000100,192.000,0
121,0.090689,2.000,-11.547,0.723800,0.672600,0.175800,0.000000,0.468500,0.000000,192.000,0
122,0.091461,2.000,-11.543,0.771500,0.670800,0.154900,0.000000,0.490500,0.000000,192.000,0
123,0.092160,2.000,-11.539,0.698700,0.658700,0.160000,0.000000,0.473300,0.000000,192.000,0
124,0.093129,2.000,-11.536,0.969400,0.916300,0.150100,0.000000,0.740900,0.000100,192.000,0
125,0.093810,2.000,-11.531,0.681200,0.613100,0.240300,0.000000,0.330000,0.000100,192.000,0
126,0.094549,2.000,-11.527,0.738600,0.700500,0.160200,0.000000,0.515000,0.000000,192.000,0
