frame,distance_m,cpu_ms,live_ms,far_field_ms,lookahead_ms,draw_ms,packages_built,far_tiles_built,resident_packages,resident_cells
1,0.0,0.3682,0.0366,0.0000,0.0000,0.0600,0,0,2601,12853
2,4.0,1.3703,0.0411,0.0000,0.0000,0.0662,0,0,2601,13363
3,8.0,4.7771,3.9761,0.0000,0.0000,0.0998,4,0,2554,13511
4,12.0,4.6010,3.7552,0.0000,0.0000,0.0876,4,0,2558,13541
5,16.0,57.9985,57.1625,0.0000,0.0000,0.1474,46,0,2553,13547
6,20.0,5.9524,5.0964,0.0000,0.0000,0.1009,4,0,2557,13549
7,24.0,57.2812,56.4599,0.0000,0.0000,0.1454,46,0,2552,13549
8,28.0,6.3831,5.5441,0.0000,0.0000,0.0979,4,0,2556,13549
9,32.0,56.5973,55.7581,0.0000,0.0000,0.1443,46,0,2551,13549
10,36.0,7.2560,6.3864,0.0000,0.0000,0.1148,4,0,2555,13549
11,40.0,56.2221,55.1068,0.0000,0.0000,0.1447,46,0,2550,13549
12,44.0,6.7698,5.8820,0.0000,0.0000,0.0964,4,0,2554,13549
13,48.0,55.8213,54.9942,0.0000,0.0000,0.1434,46,0,2549,13549
14,52.0,5.8743,5.0090,0.0000,0.0000,0.0981,4,0,2553,13549
15,56.0,57.7656,56.9318,0.0000,0.0000,0.1374,46,0,2548,13549
16,60.0,4.6852,3.8308,0.0000,0.0000,0.0932,4,0,2552,13549
17,64.0,59.5501,58.7154,0.0000,0.0000,0.1389,46,0,2547,13549
18,68.0,4.6083,3.7377,0.0000,0.0000,0.0945,4,0,2551,13549
19,72.0,60.6788,59.8153,0.0000,0.0000,0.1461,46,0,2546,13549
20,76.0,5.9340,5.0693,0.0000,0.0000,0.0948,4,0,2550,13549
21,80.0,59.6514,58.7863,0.0000,0.0000,0.1428,46,0,2545,13549
22,84.0,6.6142,5.7172,0.0000,0.0000,0.0995,4,0,2549,13549
23,88.0,59.0020,58.1531,0.0000,0.0000,0.1369,46,0,2544,13549
24,92.0,6.9681,6.1116,0.0000,0.0000,0.0977,4,0,2548,13549
25,96.0,60.2590,59.3873,0.0000,0.0000,0.1635,46,0,2543,13549
26,100.0,6.1170,5.2514,0.0000,0.0000,0.1044,4,0,2547,13549
27,104.0,58.2867,57.4084,0.0000,0.0000,0.1422,46,0,2542,13549
28,108.0,5.3909,4.4827,0.0000,0.0000,0.0992,4,0,2546,13549
