frame,distance_m,cpu_ms,simulation_ms,residency_ms,generation_ms,live_ms,hf_retire_ms,far_field_ms,lookahead_ms,draw_ms,present_ms,pacing_ms,packages_built,far_tiles_built,resident_packages,resident_cells
1,0.0,0.7315,0.0001,0.0000,0.0000,0.0682,0.0001,0.0000,0.0000,0.2182,0.0176,0.0185,0,0,2601,12853
2,16.0,9.3490,0.0000,0.8952,0.5455,16.5592,0.0001,0.0000,0.0000,0.6847,0.0196,0.0254,102,0,2601,13541
3,32.0,4.4892,0.0000,0.5412,0.5407,7.3154,0.0001,0.0000,0.0000,0.3273,0.0196,0.0454,41,0,2540,13541
4,48.0,10.4754,0.0000,0.5301,0.7249,18.1883,0.0000,0.0000,0.0000,0.6754,0.0191,0.0283,118,0,2556,13541
5,64.0,7.3922,0.0000,0.4347,0.4218,13.6741,0.0002,0.0000,0.0000,0.3699,0.0192,0.0272,82,0,2536,13541
6,80.0,8.7405,0.0000,0.5243,0.6286,16.4125,0.0001,0.0000,0.0000,0.3949,0.0194,0.0270,95,0,2529,13541
7,96.0,10.7069,0.0000,0.4331,0.4429,18.3386,0.0000,0.0000,0.0000,0.7438,0.0194,0.0270,122,0,2549,13541
8,112.0,7.6188,0.0000,0.4856,0.4506,13.5484,0.0000,0.0000,0.0000,0.3675,0.0111,0.0270,89,0,2536,13541
9,128.0,9.6866,0.0000,0.4806,0.4612,17.2969,0.0001,0.0000,0.0000,0.5497,0.0374,0.0198,102,0,2536,13541
10,144.0,11.4981,0.0000,0.4943,0.5290,19.4854,0.0000,0.0000,0.0000,0.7794,0.0198,0.0505,133,0,2567,13541
11,160.0,6.3270,0.0000,0.4665,0.4180,11.0696,0.0000,0.0000,0.0000,0.3341,0.0194,0.0258,63,0,2528,13541
12,176.0,9.5147,0.0000,0.4533,0.4336,17.4441,0.0001,0.0000,0.0000,0.4462,0.0190,0.0250,114,0,2540,13541
13,192.0,9.8648,0.0000,0.4728,0.4438,16.8559,0.0001,0.0000,0.0000,0.4914,0.0192,0.0260,114,0,2552,13541
