frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
46,45.0,walk,11.2284,0.0000,0.2810,0.2365,0.2836,0.0001,10.4053,0.0190,302,13583,0.0000,10.3692,0,1
47,46.0,walk,11.3372,0.0000,0.2620,0.1987,0.3317,0.0001,10.5064,0.0348,303,13583,0.0000,10.4641,0,1
48,47.0,walk,11.6416,0.0000,0.2995,0.2498,0.2728,0.0001,10.7953,0.0210,304,13583,0.0000,10.7540,0,1
49,48.0,walk,10.7505,0.0000,0.2976,0.2560,0.3817,0.0002,9.7911,0.0212,286,13583,9.1577,0.0000,99,1
50,49.0,walk,13.1489,0.0000,0.3079,0.2483,0.2892,0.0003,12.2788,0.0219,287,13583,0.0000,7.4866,0,1
51,50.0,walk,13.2104,0.0000,0.3423,0.2430,0.3534,0.0003,12.2352,0.0332,288,13583,0.0000,12.1915,0,1
52,51.0,walk,13.0692,0.0000,0.3299,0.2545,0.2875,0.0003,12.1652,0.0291,289,13583,0.0000,12.1259,0,1
53,52.0,walk,13.0407,0.0000,0.2885,0.2568,0.2759,0.0002,12.1784,0.0383,290,13583,0.0000,12.1373,0,1
54,53.0,walk,10.8138,0.0000,0.2843,0.2577,0.7658,0.0003,9.4828,0.0207,294,13583,0.0000,9.4348,0,4
55,54.0,walk,11.7176,0.0000,0.3257,0.2697,0.2821,0.0001,10.8177,0.0200,295,13583,0.0000,10.7804,0,1
56,55.0,walk,13.0435,0.0000,0.2632,0.2278,0.2901,0.0001,12.2399,0.0204,296,13583,0.0000,12.1953,0,1
57,56.0,walk,10.7974,0.0000,0.3707,0.2534,0.4021,0.0005,9.7473,0.0212,278,13583,9.1187,0.0000,95,1
58,57.0,walk,13.1815,0.0000,0.2940,0.2536,0.3118,0.0004,12.2999,0.0195,279,13583,0.0000,6.9055,0,1
59,58.0,walk,13.2002,0.0000,0.3171,0.2680,0.2901,0.0002,12.3016,0.0207,280,13583,0.0000,12.2631,0,1
60,59.0,walk,13.3089,0.0000,0.3129,0.2953,0.2902,0.0003,12.3149,0.0921,281,13583,0.0000,12.2757,0,1
61,60.0,walk,13.0885,0.0000,0.2830,0.2622,0.3028,0.0002,12.1610,0.0670,282,13583,0.0000,12.1130,0,1
62,61.0,walk,11.1678,0.0000,0.3717,0.2015,0.2798,0.0001,10.2924,0.0198,283,13583,0.0000,10.2510,0,1
63,62.0,walk,11.9968,0.0000,0.2983,0.2644,0.2756,0.0000,11.1365,0.0193,284,13583,0.0000,11.0941,0,1
64,63.0,walk,13.1262,0.0000,0.2960,0.2618,0.3809,0.0000,12.1563,0.0277,285,13583,0.0000,12.1042,0,1
65,64.0,walk,11.8766,0.0000,0.5282,0.3071,0.4273,0.0001,10.5897,0.0212,267,13583,9.9866,0.0000,93,1
66,66.0,sprint,13.7102,0.0000,0.3514,0.4564,0.4802,0.0007,12.3249,0.0939,268,13581,0.0000,5.3446,0,1
67,68.0,sprint,13.6097,0.0000,0.8848,0.4598,0.4977,0.0008,11.7344,0.0270,269,13579,0.0000,11.6355,0,1
68,70.0,sprint,13.5715,0.0000,0.7880,0.5904,0.4412,0.0008,11.7220,0.0242,270,13577,0.0000,11.6441,0,1
69,72.0,sprint,82.3798,0.0000,0.5966,0.4585,0.5800,0.0008,80.7003,0.0385,252,13575,78.3363,0.0000,118,1
70,74.0,sprint,16.3002,0.0000,1.1312,0.6311,0.4757,0.0010,13.9508,0.1049,253,13573,0.0000,5.1353,0,1
71,76.0,sprint,13.3305,0.0000,0.9844,0.6088,0.5297,0.0009,11.1694,0.0312,254,13571,0.0000,11.0657,0,1
72,78.0,sprint,13.6456,0.0000,1.0564,0.5105,0.5159,0.0011,11.4309,0.1236,255,13569,0.0000,11.3074,0,1
73,80.0,sprint,38.4209,0.0000,0.9926,0.4711,0.7363,0.0006,36.1752,0.0377,237,13567,34.4546,0.0000,99,1
74,82.0,sprint,14.7451,0.0000,1.2152,0.5261,0.5343,0.0008,12.4123,0.0357,238,13565,0.0000,3.2002,0,1
