TransferId,EdgeId,Class,RequestedMass,AdmittedMass,SourceMassBefore,SourceMassAfter,DestinationMassBefore,DestinationMassAfter,InputSrcRev,InputDstRev,OutputSrcRev,OutputDstRev
ed1e5061c09cec52,891d2e3ed613132a,mixed_downstream,4966,4966,4992,26,52160,57126,1,1,2,2
03e9a3751bda9b1f,897676089e2c07c6,wetland_to_river,4966,4966,4992,26,26,4992,1,1,2,2
91c1dc097485f8ba,898d740af1859775,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
ade1e5caeb767355,89973e01d47b90f0,mixed_downstream,41623,41623,41727,104,130,41753,1,1,2,2
1245bb654574b4c9,8a2363c802aebd1a,mixed_downstream,1,1,198429,198428,163292,163293,1,1,2,2
8ddcfa9dab06dc01,8a40b496021cb347,wetland_to_river,4966,4966,4992,26,11313,16279,1,1,2,2
96a5d5a5e7b7b6f1,8a554f18ce93920e,other_certified,22866,22866,22918,52,26,22892,1,1,2,2
28638f06d28acd26,8a6e3bc6cf87e7a1,mixed_downstream,66973,66973,145554,78581,267936,334909,1,1,2,2
ab84b288df4cdd77,8a6fa9b9b400a210,other_certified,10387,10387,27998,17611,11500,21887,1,1,2,2
db00baee04c17342,8a8bac78176e34e6,mixed_downstream,21070,21070,217510,196440,81007,102077,1,1,2,2
e2a7b5367e715a56,8aae9b2b5922e03b,mixed_downstream,1,1,149523,149522,9580704,9580705,1,1,2,2
757d13339f00fe23,8abd98548ab51838,other_certified,10849,10849,20309,9460,26,10875,1,1,2,2
2892cd0ed3407922,8ac4a8a8302ea66a,mixed_downstream,17768,17768,25613,7845,26,17794,1,1,2,2
15e7d9b1ef2ddb36,8ad5e2f845414eed,other_certified,4228,4228,4992,764,4992,9220,1,1,2,2
586228d82b3a407d,8ad61b914a500fc4,mixed_downstream,12710,12710,53949,41239,71717,84427,1,1,2,2
d22733446dbfab60,8ad657ee8ebbde32,other_certified,9932,9932,9958,26,4992,14924,1,1,2,2
381b2733d87e5485,8ae5874dd4e77d02,other_certified,1,1,26002,26001,7876,7877,1,1,2,2
5215c3cce9c2f429,8af56caea04d4cd7,other_certified,27780,27780,36081,8301,26,27806,1,1,2,2
0000000000000000,8af80867e0916a01,mixed_downstream,0,0,123035,123035,221846,221846,1,1,1,1
92862149d2fd3701,8b05b7e7b04f029e,other_certified,18006,18006,18032,26,8301,26307,1,1,2,2
e0e5025be4bb7f36,8b309d5398f95540,mixed_downstream,9093,9093,117325,108232,127652,136745,1,1,2,2
3eb43b25f7187807,8b40db307cb65775,other_certified,4966,4966,4992,26,1296,6262,1,1,2,2
bbf9688a74690dab,8b4d4ec29b31b441,other_certified,1,1,50059,50058,37919,37920,1,1,2,2
e4366e09344cd379,8b59290c5389494e,other_certified,4966,4966,4992,26,1871,6837,1,1,2,2
388f1c62d98a47b9,8b5d067898aed08b,other_certified,4966,4966,4992,26,9984,14950,1,1,2,2
6bcc10a7ee91dd3b,8b8295b04e29efc8,other_certified,3046,3046,4992,1946,4992,8038,1,1,2,2
27b62081c4edae06,8b962b4db2a813de,other_certified,4966,4966,4992,26,26,4992,1,1,2,2
f27756d026488f12,8bc44f446c23fbb3,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
f789f31703f7964f,8bf9aebc31230a48,other_certified,11000,11000,11026,26,11053,22053,1,1,2,2
0000000000000000,8c5fda4036309a23,wetland_to_river,0,0,4992,4992,37818,37818,1,1,1,1
5a05356ef35f68ff,8c7e5cae28ac6928,other_certified,4966,4966,4992,26,60297,65263,1,1,2,2
b885afb848a66814,8ca1a48a3954def2,mixed_downstream,11488,11488,11514,26,201226,212714,1,1,2,2
d274e67f1c7b974d,8cd0fd6469e97c59,mixed_downstream,21656,21656,21734,78,23527,45183,1,1,2,2
ebd7288c999477b0,8cee3ce8a1500652,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
f7375450cf4a4cbf,8cf4e478f340dea0,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
37dc5b6db31c057e,8d0d3d30b4c57328,other_certified,4966,4966,4992,26,6851,11817,1,1,2,2
6aca8106502c644c,8d1fa035481fb99e,other_certified,11139,11139,11165,26,11167,22306,1,1,2,2
1b7d9d06295ce96a,8d3db88a3896a2db,other_certified,3179,3179,4992,1813,4992,8171,1,1,2,2
a657ad62002c2b25,8d5fc60c0256c30a,other_certified,4966,4966,4992,26,7705,12671,1,1,2,2
3856f9eeea6affe0,8daed5ea4fe5d723,other_certified,9932,9932,9958,26,9984,19916,1,1,2,2
99cf7695f114084f,8dd0a93b7eeb461f,other_certified,1,1,18460,18459,34053,34054,1,1,2,2
77c2f6a3a85fd53f,8de1b7f80f059d0b,lake_to_river,18327,18327,510633,492306,262921,281248,1,1,2,2
04036d48d1476865,8e40fb7efab19f0e,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
99a4e0f7449332ee,8e9ca282bea6081a,other_certified,13629,13629,13655,26,27323,40952,1,1,2,2
49bd0bafeff5db20,8eb291b4c3e6c1d7,other_certified,1,1,42551,42550,28533,28534,1,1,2,2
9d95d811f9833987,8edc9b8dba5674ce,other_certified,10200,10200,10226,26,4992,15192,1,1,2,2
03e3fcd5f04cf7e1,8f220e36d9ee1c75,mixed_downstream,9140,9140,221134,211994,4992,14132,1,1,2,2
83d7cee3f78c51a8,8f4275b0f559956b,mixed_downstream,64196,64196,180402,116206,63882,128078,1,1,2,2
6eaa8251365cb4f1,8f4e83e54a5a90fc,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
1387c521268550d2,8f5f73770f86c329,other_certified,13688,13688,26152,12464,11034,24722,1,1,2,2
8be6f5aaf4773a49,8f70de032e9f6ff5,mixed_downstream,17941,17941,17967,26,40229,58170,1,1,2,2
0000000000000000,8f9dfd43a784f0e3,mixed_downstream,0,0,25616,25616,396915,396915,1,1,1,1
393fc701cb7fa36e,8fe971cf4b71304a,other_certified,776,776,4992,4216,4992,5768,1,1,2,2
0540ec6a509a3af8,8ffc05979f6099df,mixed_downstream,43214,43214,221183,177969,26,43240,1,1,2,2
25034d0a1a6fa3aa,900aba9a2d9f3c6d,mixed_downstream,106968,106968,149750,42782,54632,161600,1,1,2,2
0b38ff6839bb311c,9061b768d4ef8f84,other_certified,3684,3684,4992,1308,26,3710,1,1,2,2
0000000000000000,906d2b6533f13990,mixed_downstream,0,0,4992,4992,80788,80788,1,1,1,1
49daaf99bb9c807c,906d58f407bc63f7,other_certified,11874,11874,11900,26,130,12004,1,1,2,2
4af99c644c94cc4d,908c8af76db1360c,other_certified,4966,4966,4992,26,153741,158707,1,1,2,2
4e7136c72c66cb71,908f6e139b00761f,other_certified,4966,4966,4992,26,21848,26814,1,1,2,2
e6f8fc33494217be,90bb5f475bf62219,mixed_downstream,13912,13912,213966,200054,26,13938,1,1,2,2
58ec55294c79ca79,90c4fd5a25d5ce14,other_certified,9932,9932,9984,52,26,9958,1,1,2,2
d14602d2fe80f5ca,90dfbc4f2252247a,other_certified,4966,4966,4992,26,25340,30306,1,1,2,2
fdc0499647f23f50,90f97dc8a028706b,other_certified,1,1,15605,15604,34347,34348,1,1,2,2
1f6758a3a0ad6c08,910509a4585c234c,other_certified,1081,1081,4992,3911,8462,9543,1,1,2,2
0c2e9f8711b67c5c,91136e58f4e244e7,mixed_downstream,97049,97049,165476,68427,8371742,8468791,1,1,2,2
fc234e48066380c0,9113cc89827de6f4,other_certified,22952,22952,22978,26,139168,162120,1,1,2,2
681b15d5139b1f8d,91442cb6dec4e636,other_certified,14275,14275,14301,26,210752,225027,1,1,2,2
7f4001eea0cf5e9e,915149900895a40d,other_certified,10864,10864,10890,26,10899,21763,1,1,2,2
9ee0af27b04ddc9d,91707aab415c7fbc,other_certified,12817,12817,23616,10799,11831,24648,1,1,2,2
bc53ca0db146b79c,91988fb1ae85b623,mixed_downstream,28009,28009,28061,52,21154,49163,1,1,2,2
3e8eef2b91963459,91af774f0ad98960,other_certified,2589,2589,4992,2403,4992,7581,1,1,2,2
750b9075f743fdc8,91d5935acc867986,mixed_downstream,4966,4966,4992,26,104,5070,1,1,2,2
2fea76aaa2102560,91ea6095abd83095,mixed_downstream,7688,7688,181561,173873,88315,96003,1,1,2,2
8fb2de4e56315dc8,920d0e1d515af64b,wetland_to_river,5717,5717,10304,4587,507428,513145,1,1,2,2
