frame,distance_m,cpu_ms,simulation_ms,residency_ms,generation_ms,live_ms,hf_retire_ms,far_field_ms,lookahead_ms,draw_ms,present_ms,pacing_ms,packages_built,far_tiles_built,resident_packages,resident_cells
1,0.0,0.5348,0.0001,0.0000,0.0000,0.0267,0.0000,0.0000,0.0000,0.1094,0.0965,0.0146,0,0,2601,12853
2,4.0,0.9294,0.0000,0.6375,0.1740,0.0250,0.0001,0.0000,0.0000,0.0912,0.0098,0.0299,0,0,2601,13363
3,8.0,4.9561,0.0000,0.2228,0.1407,8.9256,0.0000,0.0000,0.0000,0.6223,0.0326,0.0524,51,0,2601,13511
4,12.0,0.8472,0.0000,0.2456,0.1527,0.0382,0.0000,0.0000,0.0000,0.1166,0.3295,0.0274,0,0,2601,13541
5,16.0,4.3034,0.0000,0.2245,0.1203,8.7532,0.0001,0.0000,0.0000,0.2834,0.0137,0.0317,51,0,2601,13547
6,20.0,1.1137,0.0000,0.2492,0.1256,0.0337,0.0000,0.0000,0.0000,0.1149,0.6217,0.0240,0,0,2601,13549
7,24.0,4.6055,0.0000,0.2409,0.1207,8.0102,0.0001,0.0000,0.0000,0.2965,0.0186,0.0286,51,0,2601,13549
8,28.0,0.7626,0.0000,0.2606,0.1285,0.0325,0.0006,0.0000,0.0000,0.1189,0.2521,0.0266,0,0,2601,13549
9,32.0,4.7529,0.0000,0.2396,0.1155,8.2361,0.0001,0.0000,0.0000,0.2992,0.0197,0.0295,51,0,2601,13549
10,36.0,0.7740,0.0000,0.2839,0.1255,0.0315,0.0001,0.0000,0.0000,0.1298,0.2323,0.0266,0,0,2601,13549
11,40.0,4.5328,0.0000,0.2710,0.1182,7.4687,0.0001,0.0000,0.0000,0.2937,0.0200,0.0204,51,0,2601,13549
12,44.0,0.8315,0.0000,0.2812,0.1310,0.0321,0.0001,0.0000,0.0000,0.1409,0.2755,0.0263,0,0,2601,13549
13,48.0,4.8337,0.0000,0.2587,0.1197,8.0341,0.0001,0.0000,0.0000,0.3277,0.0196,0.0304,51,0,2601,13549
14,52.0,1.0453,0.0000,0.2869,0.1340,0.0434,0.0001,0.0000,0.0000,0.1852,0.4357,0.0264,0,0,2601,13549
15,56.0,4.7952,0.0000,0.2566,0.1213,7.9153,0.0001,0.0000,0.0000,0.3190,0.0215,0.0277,51,0,2601,13549
16,60.0,0.8683,0.0000,0.2893,0.1401,0.0324,0.0001,0.0000,0.0000,0.1691,0.2665,0.1009,0,0,2601,13549
17,64.0,4.7047,0.0000,0.3455,0.1185,7.8678,0.0001,0.0000,0.0000,0.3168,0.0196,0.0292,51,0,2601,13549
18,68.0,0.8101,0.0000,0.2906,0.1438,0.0327,0.0000,0.0000,0.0000,0.1882,0.1848,0.0255,0,0,2601,13549
19,72.0,4.5368,0.0000,0.2725,0.1226,7.9265,0.0001,0.0000,0.0000,0.2985,0.0196,0.0216,51,0,2601,13549
20,76.0,0.7823,0.0000,0.2871,0.1316,0.0309,0.0000,0.0000,0.0000,0.1603,0.2006,0.0245,0,0,2601,13549
21,80.0,4.6147,0.0000,0.2749,0.1144,7.6420,0.0001,0.0000,0.0000,0.3510,0.0195,0.0299,51,0,2601,13549
22,84.0,0.9157,0.0000,0.3134,0.1322,0.0358,0.0001,0.0000,0.0000,0.1720,0.2951,0.0253,0,0,2601,13549
23,88.0,4.8639,0.0000,0.2886,0.1195,7.8780,0.0001,0.0000,0.0000,0.3292,0.0264,0.0288,51,0,2601,13549
24,92.0,0.9048,0.0000,0.3356,0.1502,0.0369,0.0001,0.0000,0.0000,0.1940,0.2136,0.0355,0,0,2601,13549
25,96.0,5.4122,0.0000,0.2864,0.1213,8.3161,0.0002,0.0000,0.0000,0.3489,0.0203,0.0305,51,0,2601,13549
26,100.0,0.7987,0.0000,0.3858,0.1486,0.0398,0.0000,0.0000,0.0000,0.2369,0.0148,0.0252,0,0,2601,13549
27,104.0,5.2998,0.0000,0.3533,0.1681,8.3929,0.0000,0.0000,0.0000,0.3795,0.0225,0.0356,51,0,2601,13549
28,108.0,0.9306,0.0000,0.3562,0.1957,0.0325,0.0001,0.0000,0.0000,0.2113,0.1558,0.0305,0,0,2601,13549
29,112.0,4.7437,0.0000,0.2893,0.1202,7.9561,0.0002,0.0000,0.0000,0.3308,0.0210,0.0512,51,0,2601,13549
30,116.0,0.8050,0.0000,0.3822,0.1862,0.0337,0.0001,0.0000,0.0000,0.2138,0.0197,0.0336,0,0,2601,13549
31,120.0,5.1601,0.0000,0.2899,0.1180,8.5075,0.0001,0.0000,0.0000,0.3834,0.0192,0.0250,51,0,2601,13549
32,124.0,0.9698,0.0000,0.3458,0.1339,0.0382,0.0001,0.0000,0.0000,0.2082,0.2794,0.0241,0,0,2601,13549
33,128.0,4.5256,0.0000,0.3528,0.1557,7.9888,0.0001,0.0000,0.0000,0.3613,0.0226,0.0284,51,0,2601,13549
34,132.0,0.7152,0.0000,0.3223,0.1435,0.0387,0.0001,0.0000,0.0000,0.2333,0.0137,0.0275,0,0,2601,13549
35,136.0,4.9813,0.0000,0.3365,0.1562,8.9138,0.0000,0.0000,0.0000,0.3871,0.0196,0.0291,51,0,2601,13549
