TransactionId,Fixture,Class,ContactCell,RequestedMass,AdmittedMass,MassBefore,MassAfter,ContainerBefore,ContainerAfter,InputBodies,OutputBodies,AddedCells,RemovedCells,InputTopoRev,OutputTopoRev,CellsVisited,BodiesExamined,occMs,connMs,classMs,bodyMs,eqMs,pubMs
035431c561caa8e7,pour_grow,grow,861,100,100,456493002,456493102,9870000,9869900,e6933a53cedb1337,e6933a53cedb1337,861,,0,1,5,1,0.0007,0.0007,0.0001,3.9686,0.0061,6.6844
82690627757fdac3,scoop_split,split,48017,1024,1024,456493102,456492078,9869900,9870924,0000213cf9764473,7382392da55b4bd5|dadb14a6ae52a61b,,48017,1,2,3,1,0.0002,0.2772,0.0000,3.6494,0.0080,6.3789
2726776125eb9381,pour_merge,merge,42,100,100,456492078,456492178,9870924,9870824,64e7b8cbe75d79ec|fc38e9d438ab37d2,b96b3a3eddc20064,42,,2,3,12,2,0.0013,0.2914,0.0001,3.3415,0.0054,6.6480
29b65347fa7f2230,scoop_shrink,shrink,8169,189599,189599,456492178,456302579,9870824,10060423,0026601d720e5127,0026601d720e5127,,8169,3,4,3,1,0.0002,0.0040,0.0001,3.2505,0.0020,6.2461
