stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
mw1,north,3,1.0,128.500,129.500,walk,830,2601,0.5078,0,1,0,0
mw1,north,3,2.0,128.500,130.500,walk,863,2601,0.6194,0,1,0,0
mw1,north,3,3.0,128.500,131.500,walk,896,2601,0.5308,0,1,0,0
mw1,north,3,4.0,128.500,132.500,walk,929,2601,0.5021,0,1,0,0
mw1,north,3,5.0,128.500,133.500,walk,947,2601,0.5653,0,1,0,0
mw1,north,3,6.0,128.500,134.500,walk,957,2601,0.5589,0,1,0,0
mw1,north,3,7.0,128.500,135.500,walk,963,2601,0.5393,0,1,0,0
mw1,north,3,8.0,128.500,136.500,walk,967,2601,0.5396,51,1,0,0
mw1,north,3,9.0,128.500,137.500,walk,969,2584,4.4719,17,1,0,0
mw1,north,3,10.0,128.500,138.500,walk,971,2601,2.2197,0,1,0,0
mw1,north,3,11.0,128.500,139.500,walk,973,2601,0.6094,0,1,0,0
mw1,north,3,12.0,128.500,140.500,walk,975,2601,0.5349,0,1,0,0
mw1,north,3,13.0,128.500,141.500,walk,975,2601,0.5868,0,1,0,0
mw1,north,3,14.0,128.500,142.500,walk,975,2601,0.5198,0,1,0,0
mw1,north,3,15.0,128.500,143.500,walk,975,2601,0.5133,0,1,0,0
mw1,north,3,16.0,128.500,144.500,walk,975,2601,0.5138,51,1,0,0
mw1,north,3,17.0,128.500,145.500,walk,975,2586,3.7441,15,1,0,0
mw1,north,3,18.0,128.500,146.500,walk,975,2601,1.6466,0,1,0,0
mw1,north,3,19.0,128.500,147.500,walk,975,2601,0.6151,0,1,0,0
mw1,north,3,20.0,128.500,148.500,walk,975,2601,0.5825,0,1,0,0
mw1,north,3,21.0,128.500,149.500,walk,975,2601,0.5425,0,1,0,0
mw1,north,3,22.0,128.500,150.500,walk,975,2601,0.5782,0,1,0,0
mw1,north,3,23.0,128.500,151.500,walk,975,2601,0.6689,0,1,0,0
mw1,north,3,24.0,128.500,152.500,walk,975,2601,0.7174,51,1,0,0
mw1,north,3,25.0,128.500,153.500,walk,975,2587,3.7006,14,1,0,0
mw1,north,3,26.0,128.500,154.500,walk,975,2601,1.7976,0,1,0,0
mw1,north,3,27.0,128.500,155.500,walk,975,2601,0.5666,0,1,0,0
mw1,north,3,28.0,128.500,156.500,walk,975,2601,0.5479,0,1,0,0
mw1,north,3,29.0,128.500,157.500,walk,975,2601,0.5588,0,1,0,0
mw1,north,3,30.0,128.500,158.500,walk,975,2601,0.5293,0,1,0,0
mw1,north,3,31.0,128.500,159.500,walk,975,2601,0.5207,0,1,0,0
mw1,north,3,32.0,128.500,160.500,walk,975,2601,0.5971,51,1,0,0
mw1,north,3,33.0,128.500,161.500,walk,975,2588,3.9672,13,1,0,0
mw1,north,3,34.0,128.500,162.500,walk,975,2601,1.5145,0,1,0,0
mw1,north,3,35.0,128.500,163.500,walk,975,2601,0.6015,0,1,0,0
mw1,north,3,36.0,128.500,164.500,walk,975,2601,0.5906,0,1,0,0
mw1,north,3,37.0,128.500,165.500,walk,975,2601,0.5404,0,1,0,0
mw1,north,3,38.0,128.500,166.500,walk,975,2601,1.1472,0,1,0,0
mw1,north,3,39.0,128.500,167.500,walk,975,2601,0.6865,0,1,0,0
mw1,north,3,40.0,128.500,168.500,walk,975,2601,0.5959,51,1,0,0
mw1,north,3,41.0,128.500,169.500,walk,975,2588,3.8951,13,1,0,0
mw1,north,3,42.0,128.500,170.500,walk,975,2601,1.6683,0,1,0,0
mw1,north,3,43.0,128.500,171.500,walk,975,2601,0.6209,0,1,0,0
mw1,north,3,44.0,128.500,172.500,walk,975,2601,0.5954,0,1,0,0
mw1,north,3,45.0,128.500,173.500,walk,975,2601,0.5377,0,1,0,0
mw1,north,3,46.0,128.500,174.500,walk,975,2601,0.5259,0,1,0,0
mw1,north,3,47.0,128.500,175.500,walk,975,2601,0.5214,0,1,0,0
mw1,north,3,48.0,128.500,176.500,walk,975,2601,0.5194,51,1,0,0
mw1,north,3,49.0,128.500,177.500,walk,975,2588,3.6099,13,1,0,0
mw1,north,3,50.0,128.500,178.500,walk,975,2601,1.7249,0,1,0,0
mw1,north,3,51.0,128.500,179.500,walk,975,2601,1.1454,0,1,0,0
mw1,north,3,52.0,128.500,180.500,walk,975,2601,0.7122,0,1,0,0
mw1,north,3,53.0,128.500,181.500,walk,975,2601,0.6412,0,1,0,0
mw1,north,3,54.0,128.500,182.500,walk,975,2601,0.5893,0,1,0,0
mw1,north,3,55.0,128.500,183.500,walk,975,2601,0.5346,0,1,0,0
mw1,north,3,56.0,128.500,184.500,walk,975,2601,0.5220,51,1,0,0
mw1,north,3,57.0,128.500,185.500,walk,975,2588,3.9739,13,1,0,0
mw1,north,3,58.0,128.500,186.500,walk,975,2601,1.5425,0,1,0,0
mw1,north,3,59.0,128.500,187.500,walk,975,2601,0.6101,0,1,0,0
mw1,north,3,60.0,128.500,188.500,walk,975,2601,0.5396,0,1,0,0
mw1,north,3,61.0,128.500,189.500,walk,975,2601,0.5326,0,1,0,0
mw1,north,3,62.0,128.500,190.500,walk,975,2601,0.5970,0,1,0,0
mw1,north,3,63.0,128.500,191.500,walk,975,2601,0.5196,0,1,0,0
mw1,north,3,64.0,128.500,192.500,walk,975,2601,0.5404,51,1,0,0
mw1,north,3,66.0,128.500,194.500,sprint,973,2588,3.7316,13,1,0,0
mw1,north,3,68.0,128.500,196.500,sprint,971,2601,1.8640,0,1,0,0
mw1,north,3,70.0,128.500,198.500,sprint,969,2601,1.7777,0,1,0,0
mw1,north,3,72.0,128.500,200.500,sprint,967,2601,0.5505,51,1,0,0
mw1,north,3,74.0,128.500,202.500,sprint,965,2586,3.6390,15,1,0,0
mw1,north,3,76.0,128.500,204.500,sprint,963,2601,1.7548,0,1,0,0
mw1,north,3,78.0,128.500,206.500,sprint,963,2601,0.6039,0,1,0,0
mw1,north,3,80.0,128.500,208.500,sprint,963,2601,0.5444,51,1,0,0
mw1,north,3,82.0,128.500,210.500,sprint,963,2588,3.8532,13,1,0,0
mw1,north,3,84.0,128.500,212.500,sprint,963,2601,1.5079,0,1,0,0
mw1,north,3,86.0,128.500,214.500,sprint,963,2601,0.5893,0,1,0,0
mw1,north,3,88.0,128.500,216.500,sprint,963,2601,0.7073,51,1,0,0
mw1,north,3,90.0,128.500,218.500,sprint,963,2584,4.2111,17,1,0,0
mw1,north,3,92.0,128.500,220.500,sprint,963,2601,1.8523,0,1,0,0
mw1,north,3,94.0,128.500,222.500,sprint,963,2601,0.6090,0,1,0,0
mw1,north,3,96.0,128.500,224.500,sprint,963,2601,0.6095,51,1,0,0
mw1,north,3,98.0,128.500,226.500,sprint,963,2588,3.6483,13,1,0,0
mw1,north,3,100.0,128.500,228.500,sprint,963,2601,1.4420,0,1,0,0
mw1,north,3,102.0,128.500,230.500,sprint,963,2601,0.5695,0,1,0,0
mw1,north,3,104.0,128.500,232.500,sprint,963,2601,0.5369,51,1,0,0
mw1,north,3,106.0,128.500,234.500,sprint,963,2586,4.2022,15,1,0,0
mw1,north,3,108.0,128.500,236.500,sprint,963,2601,1.8376,0,1,0,0
mw1,north,3,110.0,128.500,238.500,sprint,963,2601,0.6067,0,1,0,0
mw1,north,3,112.0,128.500,240.500,sprint,963,2601,0.5417,51,1,0,0
mw1,north,3,114.0,128.500,242.500,sprint,963,2587,3.8522,14,1,0,0
mw1,north,3,116.0,128.500,244.500,sprint,963,2601,1.6117,0,1,0,0
mw1,north,3,118.0,128.500,246.500,sprint,963,2601,0.5800,0,1,0,0
mw1,north,3,120.0,128.500,248.500,sprint,963,2601,0.5409,51,1,0,0
mw1,north,3,122.0,128.500,250.500,sprint,963,2588,3.6255,13,1,0,0
mw1,north,3,124.0,128.500,252.500,sprint,963,2601,1.8176,0,1,0,0
mw1,north,3,126.0,128.500,254.500,sprint,963,2601,0.8830,0,1,0,0
mw1,north,3,128.0,128.500,256.500,sprint,963,2601,0.8076,51,1,0,0
mw1,north,3,132.0,128.500,260.500,free_fly,961,2587,3.9090,14,1,0,0
mw1,north,3,136.0,128.500,264.500,free_fly,959,2601,1.5991,51,1,0,0
mw1,north,3,140.0,128.500,268.500,free_fly,957,2588,3.7622,13,1,0,0
mw1,north,3,144.0,128.500,272.500,free_fly,957,2601,1.5318,51,1,0,0
mw1,north,3,148.0,128.500,276.500,free_fly,957,2588,3.9526,13,1,0,0
mw1,north,3,152.0,128.500,280.500,free_fly,957,2601,1.9665,51,1,0,0
mw1,north,3,156.0,128.500,284.500,free_fly,957,2587,3.8002,14,1,0,0
mw1,north,3,160.0,128.500,288.500,free_fly,957,2601,1.6393,51,1,0,0
mw1,north,3,164.0,128.500,292.500,free_fly,957,2587,3.9392,14,1,0,0
mw1,north,3,168.0,128.500,296.500,free_fly,957,2601,1.5615,51,1,0,0
mw1,north,3,172.0,128.500,300.500,free_fly,957,2588,4.2611,13,1,0,0
mw1,north,3,176.0,128.500,304.500,free_fly,957,2601,1.8665,51,1,0,0
mw1,north,3,180.0,128.500,308.500,free_fly,957,2587,3.8154,14,1,0,0
mw1,north,3,184.0,128.500,312.500,free_fly,957,2601,1.6320,51,1,0,0
mw1,north,3,188.0,128.500,316.500,free_fly,957,2589,3.9174,12,1,0,0
