phase,elapsed_s,distance_m,x,y,mode,frame_ms,primary,resident_packages,pending_packages,worker_queue,complete_radius_m,working_set_bytes,private_bytes,live_package_bytes,live_mesh_bytes,live_collision_bytes,live_gl_resources,retirement_queue_bytes,worker_result_bytes,cache_entries,packages_created,packages_retired,pkg_create,pkg_retire,worker_batch,collision,mesh,gl_create,gl_delete,alloc_delta,finish_ms,swap_ms,retire_ms,wake_water_body,wake_topology,wake_terrain_state,wake_mesh,wake_collision,wake_grass,wake_tree
travel,0.029,0.7,128.994,128.994,fly,0.827,ok,2601,0,0,192.00,274235392,352587776,114090264,95883264,18123768,2601,0,22132800,797,0,0,0,0,0,0,0,0,0,0,0.412,0.022,0.000,0,0,0,0,0,0,0
travel,0.059,1.4,129.507,129.507,fly,0.838,ok,2601,0,0,192.00,274235392,352587776,114090264,95883264,18123768,2601,0,22132800,842,0,0,0,0,0,0,0,0,0,0,0.409,0.018,0.000,0,0,0,0,0,0,0
travel,0.090,2.2,130.029,130.029,fly,0.710,ok,2601,0,0,192.00,274235392,352587776,114090264,95883264,18123768,2601,0,22132800,887,0,0,0,0,0,0,0,0,0,0,0.371,0.010,0.000,0,0,0,0,0,0,0
travel,0.120,2.9,130.538,130.538,fly,0.703,ok,2601,0,0,192.00,274235392,352587776,114090264,95883264,18123768,2601,0,22132800,887,0,0,0,0,0,0,0,0,0,0,0.373,0.010,0.000,0,0,0,0,0,0,0
travel,0.150,3.6,131.048,131.048,fly,0.807,ok,2601,0,0,192.00,274235392,352587776,114090264,95883264,18123768,2601,0,22132800,932,0,0,0,0,0,0,0,0,0,0,0.403,0.020,0.000,0,0,0,0,0,0,0
travel,0.180,4.3,131.561,131.561,fly,0.700,ok,2601,0,0,192.00,274235392,352587776,114090264,95883264,18123768,2601,0,22132800,932,0,0,0,0,0,0,0,0,0,0,0.370,0.010,0.000,0,0,0,0,0,0,0
travel,0.210,5.0,132.070,132.070,fly,0.714,ok,2601,0,0,192.00,274239488,352587776,114090264,95883264,18123768,2601,0,22132800,950,0,0,0,0,0,0,0,0,0,0,0.382,0.010,0.000,0,0,0,0,0,0,0
travel,0.241,5.8,132.589,132.589,fly,0.795,ok,2601,0,0,192.00,274239488,352587776,114090264,95883264,18123768,2601,0,22132800,950,0,0,0,0,0,0,0,0,0,0,0.405,0.022,0.000,0,0,0,0,0,0,0
travel,0.271,6.5,133.098,133.098,fly,0.725,ok,2601,0,0,192.00,274239488,352587776,114090264,95883264,18123768,2601,0,22132800,956,0,0,0,0,0,0,0,0,0,0,0.370,0.010,0.000,0,0,0,0,0,0,0
travel,0.301,7.2,133.609,133.609,fly,0.886,ok,2601,0,0,192.00,274243584,352591872,114090264,95883264,18123768,2601,0,22132800,956,0,0,0,0,0,0,0,0,0,0,0.374,0.055,0.000,0,0,0,0,0,0,0
travel,0.331,8.0,134.124,134.124,fly,0.716,ok,2601,0,0,192.00,274243584,352591872,114090264,95883264,18123768,2601,0,22132800,958,0,0,0,0,0,0,0,0,0,0,0.370,0.010,0.000,0,0,0,0,0,0,0
travel,0.361,8.7,134.634,134.634,fly,0.755,ok,2601,0,0,192.00,274243584,352591872,114090264,95883264,18123768,2601,0,22132800,958,0,0,0,0,0,0,0,0,0,0,0.384,0.013,0.000,0,0,0,0,0,0,0
travel,0.391,9.4,135.143,135.143,fly,0.733,ok,2601,0,0,192.00,274243584,352591872,114090264,95883264,18123768,2601,0,22132800,958,0,0,0,0,0,0,0,0,0,0,0.376,0.012,0.000,0,0,0,0,0,0,0
travel,0.422,10.1,135.654,135.654,fly,0.739,ok,2601,0,0,192.00,274243584,352591872,114090264,95883264,18123768,2601,0,22132800,958,0,0,0,0,0,0,0,0,0,0,0.386,0.011,0.000,0,0,0,0,0,0,0
travel,0.461,11.1,136.331,136.331,fly,0.748,ok,2601,0,0,192.00,272482304,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.376,0.011,0.000,0,0,0,101,101,0,0
travel,0.491,11.8,136.841,136.841,fly,0.754,ok,2601,0,0,192.00,272482304,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.388,0.011,0.000,0,0,0,101,101,0,0
travel,0.522,12.5,137.353,137.353,fly,0.775,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.411,0.035,0.000,0,0,0,101,101,0,0
travel,0.552,13.2,137.862,137.862,fly,0.795,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.397,0.019,0.000,0,0,0,101,101,0,0
travel,0.582,14.0,138.375,138.375,fly,0.816,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.401,0.018,0.000,0,0,0,101,101,0,0
travel,0.612,14.7,138.888,138.888,fly,0.774,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.396,0.019,0.000,0,0,0,101,101,0,0
travel,0.642,15.4,139.398,139.398,fly,0.857,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.413,0.072,0.000,0,0,0,101,101,0,0
travel,0.672,16.1,139.909,139.909,fly,0.800,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.409,0.022,0.000,0,0,0,101,101,0,0
travel,0.702,16.9,140.422,140.422,fly,0.804,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.423,0.022,0.000,0,0,0,101,101,0,0
travel,0.732,17.6,140.931,140.931,fly,0.787,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.398,0.022,0.000,0,0,0,101,101,0,0
travel,0.763,18.3,141.442,141.442,fly,0.829,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.401,0.064,0.000,0,0,0,101,101,0,0
travel,0.793,19.0,141.953,141.953,fly,0.845,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.407,0.064,0.000,0,0,0,101,101,0,0
travel,0.823,19.8,142.466,142.466,fly,0.783,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.403,0.014,0.000,0,0,0,101,101,0,0
travel,0.853,20.5,142.976,142.976,fly,0.800,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.395,0.034,0.000,0,0,0,101,101,0,0
travel,0.883,21.2,143.485,143.485,fly,0.712,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.376,0.010,0.000,0,0,0,101,101,0,0
travel,0.913,21.9,143.995,143.995,fly,0.781,ok,2601,0,0,192.00,272486400,352460800,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.386,0.020,0.000,0,0,0,101,101,0,0
travel,0.953,22.9,144.666,144.666,fly,0.789,ok,2601,0,0,192.00,275320832,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.381,0.011,0.000,0,0,0,202,202,0,0
travel,0.983,23.6,145.176,145.176,fly,0.719,ok,2601,0,0,192.00,275324928,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.375,0.017,0.000,0,0,0,202,202,0,0
travel,1.013,24.3,145.688,145.688,fly,0.755,ok,2601,0,0,192.00,275324928,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.386,0.011,0.000,0,0,0,202,202,0,0
travel,1.043,25.0,146.200,146.200,fly,0.845,ok,2601,0,0,192.00,275329024,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.404,0.023,0.000,0,0,0,202,202,0,0
travel,1.073,25.8,146.712,146.712,fly,0.811,ok,2601,0,0,192.00,275329024,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.417,0.019,0.000,0,0,0,202,202,0,0
travel,1.103,26.5,147.225,147.225,fly,0.790,ok,2601,0,0,192.00,275329024,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.399,0.022,0.000,0,0,0,202,202,0,0
travel,1.133,27.2,147.734,147.734,fly,0.983,ok,2601,0,0,192.00,275329024,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.552,0.023,0.000,0,0,0,202,202,0,0
travel,1.163,27.9,148.243,148.243,fly,0.718,ok,2601,0,0,192.00,275329024,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.386,0.010,0.000,0,0,0,202,202,0,0
travel,1.194,28.7,148.770,148.770,fly,0.737,ok,2601,0,0,192.00,275329024,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.385,0.010,0.000,0,0,0,202,202,0,0
travel,1.224,29.4,149.279,149.279,fly,0.789,ok,2601,0,0,192.00,275329024,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.409,0.022,0.000,0,0,0,202,202,0,0
travel,1.255,30.1,149.790,149.790,fly,0.751,ok,2601,0,0,192.00,275329024,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.382,0.022,0.000,0,0,0,202,202,0,0
travel,1.285,30.8,150.300,150.300,fly,0.847,ok,2601,0,0,192.00,275329024,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.485,0.024,0.000,0,0,0,202,202,0,0
travel,1.315,31.6,150.811,150.811,fly,0.773,ok,2601,0,0,192.00,275329024,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.419,0.022,0.000,0,0,0,202,202,0,0
travel,1.345,32.3,151.320,151.320,fly,0.736,ok,2601,0,0,192.00,275329024,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.388,0.021,0.000,0,0,0,202,202,0,0
travel,1.375,33.0,151.829,151.829,fly,0.705,ok,2601,0,0,192.00,275329024,357711872,114090264,95883264,18123768,2803,7449760,22132800,958,202,202,0,0,0,0,0,0,0,0,0.372,0.010,0.000,0,0,0,202,202,0,0
travel,1.414,33.9,152.494,152.494,fly,0.801,ok,2601,0,0,192.00,278249472,362442752,114090264,95883264,18123768,2904,11174640,22132800,958,303,303,0,0,0,0,0,0,0,0,0.406,0.022,0.000,0,0,0,303,303,0,0
