TransactionId,Fixture,CauseWaterBodyId,TerrainCell,MaterialId,Material,Saturation,Cohesion,Requested,Admitted,DetachedMatterId,TerrainSolidsBefore,TerrainSolidsAfter,LooseBefore,LooseAfter,WaterBefore,WaterAfter,HeldBefore,HeldAfter,TerrainRevBefore,TerrainRevAfter,WaterRevBefore,WaterRevAfter,CellsVisited,BodiesExamined,RefusedStale,RefusedInvalid,PublishedCoherent,RoutedThrough16C,Susceptible,WaterContact,ExposedFace
cecae1e361e99db7,same_material_dry_control,0000000000000000,33,10df5aebf51f8b90,sandstone,50,1000,80,0,0000000000000000,353566960429,353566960429,0,0,466363002,466363002,1000000054337,1000000054337,4,4,10,10,2,0,0,0,1,0,1,1,1
d1b29bd8ff333af0,resistant_rock_zero,0000000000000000,142,6dcaa2493a74f722,shale,1000,550,80,0,0000000000000000,353566960429,353566960429,0,0,466363002,466363002,1000000054337,1000000054337,4,4,10,10,2,0,0,0,1,0,0,0,1
149ed08349749f58,saturated_susceptible_bank,0000000000000000,33,10df5aebf51f8b90,sandstone,1000,550,80,80,c0a04368b118f347,353566960429,353566960349,0,80,466363002,466363002,1000000054337,1000000054337,4,5,10,11,5,0,0,0,1,0,1,1,1
