col,auth_near_deg,auth_32_50_deg,auth_50_80_deg,auth_80_128_deg,render_near_top_deg,render_far_bottom_deg,render_gap_deg,class
312,-1.262,-2.002,-2.026,-1.273,-0.655,-99.000,0.000,no_far
316,-1.256,-1.994,-2.017,-1.268,-0.656,-99.000,0.000,no_far
320,-1.249,-1.986,-2.007,-1.262,-0.658,-99.000,0.000,no_far
324,-1.242,-1.979,-1.997,-1.256,-0.659,-99.000,0.000,no_far
328,-1.235,-1.970,-1.987,-1.249,-0.661,-99.000,0.000,no_far
332,-1.227,-1.963,-1.977,-1.242,-0.662,-99.000,0.000,no_far
336,-1.218,-1.955,-1.967,-1.234,-0.664,-99.000,0.000,no_far
340,-1.210,-1.946,-1.957,-1.226,-0.665,-99.000,0.000,no_far
344,-1.201,-1.938,-1.948,-1.218,-0.667,-99.000,0.000,no_far
348,-1.193,-1.930,-1.938,-1.209,-0.668,-99.000,0.000,no_far
352,-1.184,-1.922,-1.928,-1.201,-0.670,-99.000,0.000,no_far
356,-1.175,-1.913,-1.918,-1.193,-0.671,-99.000,0.000,no_far
360,-1.166,-1.904,-1.908,-1.185,-0.672,-99.000,0.000,no_far
364,-1.158,-1.896,-1.898,-1.176,-0.674,-99.000,0.000,no_far
368,-1.150,-1.887,-1.889,-1.169,-0.675,-99.000,0.000,no_far
372,-1.142,-1.878,-1.879,-1.161,-0.677,-99.000,0.000,no_far
376,-1.134,-1.869,-1.870,-1.153,-0.678,-99.000,0.000,no_far
380,-1.127,-1.860,-1.860,-1.146,-0.679,-99.000,0.000,no_far
384,-1.120,-1.852,-1.851,-1.139,-0.681,-99.000,0.000,no_far
388,-1.113,-1.843,-1.841,-1.133,-0.763,-99.000,0.000,no_far
392,-1.107,-1.834,-1.832,-1.127,-0.764,-99.000,0.000,no_far
396,-1.101,-1.825,-1.822,-1.121,-0.766,-99.000,0.000,no_far
400,-1.096,-1.817,-1.813,-1.116,-0.767,-99.000,0.000,no_far
404,-1.091,-1.809,-1.803,-1.111,-0.769,-99.000,0.000,no_far
408,-1.087,-1.801,-1.793,-1.107,-0.770,-99.000,0.000,no_far
412,-1.083,-1.793,-1.783,-1.103,-0.771,-99.000,0.000,no_far
416,-1.080,-1.785,-1.774,-1.100,-0.773,-99.000,0.000,no_far
420,-1.077,-1.778,-1.763,-1.097,-0.774,-99.000,0.000,no_far
424,-1.075,-1.771,-1.753,-1.095,-0.775,-99.000,0.000,no_far
428,-1.073,-1.765,-1.743,-1.093,-0.777,-99.000,0.000,no_far
432,-1.072,-1.758,-1.732,-1.092,-0.778,-99.000,0.000,no_far
436,-1.072,-1.751,-1.722,-1.092,-0.779,-99.000,0.000,no_far
440,-1.072,-1.745,-1.711,-1.092,-0.863,-99.000,0.000,no_far
444,-1.073,-1.740,-1.701,-1.092,-0.865,-99.000,0.000,no_far
448,-1.074,-1.735,-1.690,-1.094,-0.866,-99.000,0.000,no_far
452,-1.076,-1.730,-1.679,-1.095,-0.867,-99.000,0.000,no_far
456,-1.078,-1.725,-1.668,-1.098,-0.869,-99.000,0.000,no_far
460,-1.065,-1.721,-1.658,-1.101,-0.870,-99.000,0.000,no_far
464,-1.053,-1.718,-1.647,-1.104,-0.871,-99.000,0.000,no_far
468,-1.040,-1.714,-1.650,-1.108,-0.872,-99.000,0.000,no_far
472,-1.027,-1.711,-1.657,-1.112,-0.874,-99.000,0.000,no_far
476,-1.015,-1.713,-1.665,-1.117,-0.959,-99.000,0.000,no_far
480,-1.002,-1.716,-1.673,-1.123,-0.960,-99.000,0.000,no_far
484,-0.989,-1.718,-1.680,-1.128,-0.961,-99.000,0.000,no_far
488,-0.955,-1.721,-1.688,-1.134,-0.962,-99.000,0.000,no_far
492,-0.911,-1.724,-1.695,-1.141,-0.963,-99.000,0.000,no_far
496,-0.867,-1.728,-1.703,-1.148,-0.965,-99.000,0.000,no_far
500,-0.861,-1.732,-1.710,-1.155,-0.966,-99.000,0.000,no_far
504,-0.860,-1.736,-1.718,-1.162,-1.051,-99.000,0.000,no_far
508,-0.859,-1.741,-1.725,-1.169,-1.052,-99.000,0.000,no_far
512,-0.859,-1.745,-1.733,-1.176,-1.054,-99.000,0.000,no_far
516,-0.858,-1.749,-1.740,-1.183,-1.055,-99.000,0.000,no_far
520,-0.859,-1.755,-1.747,-1.190,-1.056,-99.000,0.000,no_far
524,-0.893,-1.761,-1.754,-1.196,-1.142,-99.000,0.000,no_far
528,-0.928,-1.766,-1.762,-1.202,-1.143,-99.000,0.000,no_far
532,-0.963,-1.772,-1.769,-1.208,-1.144,-99.000,0.000,no_far
536,-0.997,-1.778,-1.776,-1.211,-1.145,-99.000,0.000,no_far
540,-1.031,-1.783,-1.783,-1.215,-1.146,-99.000,0.000,no_far
544,-1.064,-1.790,-1.790,-1.217,-1.147,-99.000,0.000,no_far
548,-1.096,-1.797,-1.797,-1.219,-1.148,-99.000,0.000,no_far
552,-1.128,-1.803,-1.803,-1.220,-1.148,-99.000,0.000,no_far
556,-1.159,-1.810,-1.810,-1.222,-1.235,-99.000,0.000,no_far
560,-1.176,-1.817,-1.818,-1.224,-1.236,-99.000,0.000,no_far
564,-1.175,-1.824,-1.826,-1.225,-1.236,-99.000,0.000,no_far
568,-1.174,-1.830,-1.834,-1.227,-1.237,-99.000,0.000,no_far
572,-1.173,-1.837,-1.841,-1.228,-1.238,-99.000,0.000,no_far
576,-1.173,-1.843,-1.849,-1.230,-1.238,-99.000,0.000,no_far
580,-1.171,-1.850,-1.856,-1.231,-1.239,-99.000,0.000,no_far
584,-1.164,-1.856,-1.865,-1.233,-1.240,-99.000,0.000,no_far
588,-1.158,-1.862,-1.873,-1.234,-1.240,-99.000,0.000,no_far
592,-1.151,-1.869,-1.881,-1.236,-1.241,-99.000,0.000,no_far
596,-1.145,-1.875,-1.889,-1.237,-1.241,-99.000,0.000,no_far
600,-1.139,-1.881,-1.898,-1.238,-1.241,-99.000,0.000,no_far
604,-1.133,-1.887,-1.906,-1.239,-1.242,-99.000,0.000,no_far
608,-1.128,-1.893,-1.913,-1.240,-1.242,-99.000,0.000,no_far
612,-1.122,-1.899,-1.922,-1.241,-1.242,-99.000,0.000,no_far
616,-1.117,-1.904,-1.930,-1.242,-1.242,-99.000,0.000,no_far
620,-1.111,-1.910,-1.939,-1.243,-1.243,-99.000,0.000,no_far
624,-1.106,-1.916,-1.947,-1.244,-1.243,-99.000,0.000,no_far
628,-1.101,-1.922,-1.955,-1.244,-1.243,-99.000,0.000,no_far
632,-1.096,-1.927,-1.963,-1.245,-1.243,-99.000,0.000,no_far
636,-1.091,-1.933,-1.971,-1.246,-1.243,-99.000,0.000,no_far
640,-1.087,-1.938,-1.979,-1.246,-1.243,-99.000,0.000,no_far
644,-1.082,-1.943,-1.988,-1.246,-1.243,-99.000,0.000,no_far
648,-1.078,-1.949,-1.996,-1.246,-1.242,-99.000,0.000,no_far
652,-1.074,-1.954,-2.004,-1.246,-1.242,-99.000,0.000,no_far
656,-1.070,-1.959,-2.012,-1.247,-1.242,-99.000,0.000,no_far
660,-1.066,-1.964,-2.020,-1.246,-1.242,-99.000,0.000,no_far
664,-1.062,-1.969,-2.028,-1.246,-1.241,-99.000,0.000,no_far
668,-1.058,-1.974,-2.035,-1.246,-1.241,-99.000,0.000,no_far
672,-1.055,-1.979,-2.043,-1.246,-1.240,-99.000,0.000,no_far
676,-1.051,-1.983,-2.050,-1.245,-1.240,-99.000,0.000,no_far
680,-1.053,-1.988,-2.058,-1.244,-1.239,-99.000,0.000,no_far
684,-1.072,-1.993,-2.066,-1.244,-1.239,-99.000,0.000,no_far
688,-1.091,-1.997,-2.073,-1.243,-1.238,-99.000,0.000,no_far
692,-1.110,-2.002,-2.080,-1.242,-1.238,-99.000,0.000,no_far
696,-1.128,-2.006,-2.087,-1.241,-1.237,-99.000,0.000,no_far
700,-1.136,-2.010,-2.094,-1.240,-1.236,-99.000,0.000,no_far
704,-1.113,-2.015,-2.101,-1.238,-1.235,-99.000,0.000,no_far
708,-1.089,-2.019,-2.108,-1.237,-1.235,-99.000,0.000,no_far
712,-1.064,-2.023,-2.114,-1.235,-1.234,-99.000,0.000,no_far
716,-1.051,-2.027,-2.121,-1.234,-1.147,-99.000,0.000,no_far
720,-1.075,-2.030,-2.127,-1.232,-1.147,-99.000,0.000,no_far
724,-1.100,-2.034,-2.134,-1.230,-1.146,-99.000,0.000,no_far
728,-1.125,-2.039,-2.135,-1.229,-1.145,-99.000,0.000,no_far
732,-1.151,-2.042,-2.133,-1.227,-1.144,-99.000,0.000,no_far
736,-1.176,-2.046,-2.132,-1.225,-1.143,-99.000,0.000,no_far
740,-1.201,-2.049,-2.131,-1.223,-1.141,-99.000,0.000,no_far
744,-1.210,-2.052,-2.129,-1.221,-1.140,-99.000,0.000,no_far
748,-1.208,-2.056,-2.128,-1.219,-1.139,-99.000,0.000,no_far
752,-1.205,-2.059,-2.127,-1.217,-1.138,-99.000,0.000,no_far
756,-1.203,-2.063,-2.125,-1.215,-1.137,-99.000,0.000,no_far
760,-1.201,-2.066,-2.124,-1.212,-1.136,-99.000,0.000,no_far
764,-1.199,-2.069,-2.123,-1.210,-1.134,-99.000,0.000,no_far
768,-1.196,-2.072,-2.121,-1.208,-1.133,-99.000,0.000,no_far
772,-1.194,-2.075,-2.120,-1.206,-1.132,-99.000,0.000,no_far
776,-1.192,-2.077,-2.118,-1.203,-1.130,-99.000,0.000,no_far
780,-1.189,-2.080,-2.117,-1.201,-1.129,-99.000,0.000,no_far
784,-1.187,-2.083,-2.116,-1.199,-1.127,-99.000,0.000,no_far
788,-1.185,-2.086,-2.114,-1.196,-1.042,-99.000,0.000,no_far
792,-1.182,-2.089,-2.113,-1.194,-1.041,-99.000,0.000,no_far
796,-1.180,-2.092,-2.111,-1.192,-1.039,-99.000,0.000,no_far
800,-1.178,-2.094,-2.110,-1.189,-1.038,-99.000,0.000,no_far
804,-1.175,-2.096,-2.108,-1.187,-1.036,-99.000,0.000,no_far
808,-1.173,-2.099,-2.107,-1.185,-1.035,-99.000,0.000,no_far
812,-1.171,-2.101,-2.106,-1.183,-1.033,-99.000,0.000,no_far
816,-1.168,-2.103,-2.104,-1.180,-1.031,-99.000,0.000,no_far
820,-1.166,-2.105,-2.103,-1.178,-1.030,-99.000,0.000,no_far
824,-1.164,-2.107,-2.101,-1.176,-1.028,-99.000,0.000,no_far
828,-1.162,-2.109,-2.100,-1.174,-1.026,-99.000,0.000,no_far
832,-1.159,-2.111,-2.098,-1.172,-1.025,-99.000,0.000,no_far
836,-1.157,-2.113,-2.097,-1.169,-1.023,-99.000,0.000,no_far
840,-1.155,-2.115,-2.095,-1.167,-1.021,-99.000,0.000,no_far
844,-1.153,-2.117,-2.094,-1.165,-1.019,-99.000,0.000,no_far
848,-1.151,-2.118,-2.092,-1.163,-0.936,-99.000,0.000,no_far
852,-1.149,-2.120,-2.090,-1.161,-0.934,-99.000,0.000,no_far
856,-1.147,-2.122,-2.089,-1.159,-0.933,-99.000,0.000,no_far
860,-1.145,-2.123,-2.087,-1.157,-0.931,-99.000,0.000,no_far
864,-1.143,-2.125,-2.086,-1.155,-0.929,-99.000,0.000,no_far
868,-1.141,-2.126,-2.084,-1.153,-0.927,-99.000,0.000,no_far
872,-1.139,-2.128,-2.082,-1.151,-0.926,-99.000,0.000,no_far
876,-1.137,-2.129,-2.081,-1.150,-0.924,-99.000,0.000,no_far
880,-1.136,-2.131,-2.079,-1.148,-0.922,-99.000,0.000,no_far
884,-1.134,-2.132,-2.078,-1.146,-0.920,-99.000,0.000,no_far
888,-1.132,-2.133,-2.076,-1.144,-0.918,-99.000,0.000,no_far
892,-1.131,-2.133,-2.074,-1.143,-0.916,-99.000,0.000,no_far
896,-1.129,-2.134,-2.073,-1.141,-0.914,-99.000,0.000,no_far
900,-1.127,-2.134,-2.071,-1.139,-0.913,-99.000,0.000,no_far
904,-1.126,-2.133,-2.069,-1.138,-0.911,-99.000,0.000,no_far
908,-1.124,-2.129,-2.067,-1.136,-0.829,-99.000,0.000,no_far
912,-1.123,-2.123,-2.066,-1.135,-0.828,-99.000,0.000,no_far
916,-1.121,-2.118,-2.064,-1.133,-0.826,-99.000,0.000,no_far
920,-1.120,-2.112,-2.062,-1.132,-0.824,-99.000,0.000,no_far
924,-1.119,-2.103,-2.061,-1.130,-0.822,-99.000,0.000,no_far
928,-1.117,-2.089,-2.059,-1.129,-0.820,-99.000,0.000,no_far
932,-1.116,-2.074,-2.054,-1.128,-0.818,-99.000,0.000,no_far
936,-1.115,-2.055,-2.047,-1.127,-0.817,-99.000,0.000,no_far
940,-1.114,-2.033,-2.032,-1.125,-0.815,-99.000,0.000,no_far
944,-1.112,-2.006,-1.969,-1.124,-0.813,-99.000,0.000,no_far
948,-1.111,-1.968,-1.906,-1.123,-0.811,-99.000,0.000,no_far
952,-1.110,-1.931,-1.811,-1.122,-0.809,-99.000,0.000,no_far
956,-1.090,-1.896,-1.696,-1.100,-0.807,-99.000,0.000,no_far
960,-1.038,-1.889,-1.583,-1.048,-0.805,-99.000,0.000,no_far
964,-0.944,-1.883,-1.508,-0.951,-0.726,-99.000,0.000,no_far
968,-0.816,-1.877,-1.431,-0.823,-0.725,-99.000,0.000,no_far
972,-0.694,-1.871,-1.393,-0.699,-0.646,-99.000,0.000,no_far
976,-0.632,-1.866,-1.396,-0.640,-0.569,-99.000,0.000,no_far
980,-0.607,-1.861,-1.400,-0.613,-0.491,-99.000,0.000,no_far
984,-0.610,-1.857,-1.377,-0.615,-0.414,-99.000,0.000,no_far
988,-0.580,-1.852,-1.349,-0.587,-0.413,-99.000,0.000,no_far
992,-0.557,-1.845,-1.323,-0.562,-0.412,-99.000,0.000,no_far
996,-0.563,-1.836,-1.311,-0.569,-0.411,-99.000,0.000,no_far
1000,-0.581,-1.828,-1.300,-0.586,-0.410,-99.000,0.000,no_far
1004,-0.607,-1.819,-1.306,-0.612,-0.409,-99.000,0.000,no_far
1008,-0.589,-1.815,-1.333,-0.596,-0.408,-99.000,0.000,no_far
1012,-0.568,-1.822,-1.359,-0.573,-0.407,-99.000,0.000,no_far
1016,-0.553,-1.829,-1.367,-0.559,-0.331,-99.000,0.000,no_far
1020,-0.558,-1.836,-1.356,-0.562,-0.405,-99.000,0.000,no_far
1024,-0.588,-1.843,-1.346,-0.592,-0.404,-99.000,0.000,no_far
1028,-0.592,-1.845,-1.319,-0.598,-0.403,-99.000,0.000,no_far
1032,-0.587,-1.847,-1.292,-0.592,-0.328,-99.000,0.000,no_far
1036,-0.560,-1.849,-1.269,-0.567,-0.327,-99.000,0.000,no_far
1040,-0.541,-1.851,-1.274,-0.543,-0.326,-99.000,0.000,no_far
1044,-0.559,-1.850,-1.284,-0.563,-0.398,-99.000,0.000,no_far
1048,-0.577,-1.840,-1.304,-0.581,-0.397,-99.000,0.000,no_far
1052,-0.590,-1.830,-1.329,-0.594,-0.324,-99.000,0.000,no_far
1056,-0.579,-1.821,-1.345,-0.587,-0.323,-99.000,0.000,no_far
1060,-0.550,-1.811,-1.344,-0.557,-0.322,-99.000,0.000,no_far
1064,-0.543,-1.808,-1.314,-0.547,-0.321,-99.000,0.000,no_far
