phase,elapsed_s,distance_m,x,y,mode,frame_ms,primary,resident_packages,pending_packages,worker_queue,complete_radius_m,working_set_bytes,private_bytes,live_package_bytes,live_mesh_bytes,live_collision_bytes,live_gl_resources,retirement_queue_bytes,worker_result_bytes,cache_entries,packages_created,packages_retired,pkg_create,pkg_retire,worker_batch,collision,mesh,gl_create,gl_delete,alloc_delta,finish_ms,swap_ms,retire_ms,wake_water_body,wake_topology,wake_terrain_state,wake_mesh,wake_collision,wake_grass,wake_tree
travel,0.029,0.7,128.994,128.994,fly,0.741,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,797,0,0,0,0,0,0,0,0,0,0,0.378,0.011,0.000,0,0,0,0,0,0,0
travel,0.059,1.4,129.507,129.507,fly,0.742,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,842,0,0,0,0,0,0,0,0,0,0,0.378,0.010,0.000,0,0,0,0,0,0,0
travel,0.089,2.1,130.019,130.019,fly,0.760,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,887,0,0,0,0,0,0,0,0,0,0,0.378,0.011,0.000,0,0,0,0,0,0,0
travel,0.119,2.9,130.528,130.528,fly,0.808,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,887,0,0,0,0,0,0,0,0,0,0,0.362,0.018,0.000,0,0,0,0,0,0,0
travel,0.150,3.6,131.037,131.037,fly,0.784,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,932,0,0,0,0,0,0,0,0,0,0,0.383,0.017,0.000,0,0,0,0,0,0,0
travel,0.180,4.3,131.548,131.548,fly,0.709,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,932,0,0,0,0,0,0,0,0,0,0,0.365,0.010,0.000,0,0,0,0,0,0,0
travel,0.210,5.0,132.058,132.058,fly,0.706,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,950,0,0,0,0,0,0,0,0,0,0,0.364,0.010,0.000,0,0,0,0,0,0,0
travel,0.240,5.8,132.570,132.570,fly,0.766,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,950,0,0,0,0,0,0,0,0,0,0,0.375,0.024,0.000,0,0,0,0,0,0,0
travel,0.270,6.5,133.089,133.089,fly,0.727,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,956,0,0,0,0,0,0,0,0,0,0,0.366,0.010,0.000,0,0,0,0,0,0,0
travel,0.301,7.2,133.607,133.607,fly,0.707,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,956,0,0,0,0,0,0,0,0,0,0,0.368,0.011,0.000,0,0,0,0,0,0,0
travel,0.331,7.9,134.118,134.118,fly,0.769,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,958,0,0,0,0,0,0,0,0,0,0,0.382,0.011,0.000,0,0,0,0,0,0,0
travel,0.361,8.7,134.629,134.629,fly,0.725,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,958,0,0,0,0,0,0,0,0,0,0,0.377,0.010,0.000,0,0,0,0,0,0,0
travel,0.391,9.4,135.141,135.141,fly,0.719,ok,2601,0,0,192.00,238727168,314003456,114090264,95883264,18123768,2601,0,22132800,958,0,0,0,0,0,0,0,0,0,0,0.380,0.010,0.000,0,0,0,0,0,0,0
travel,0.422,10.1,135.654,135.654,fly,0.719,ok,2601,0,0,192.00,238731264,314003456,114090264,95883264,18123768,2601,0,22132800,958,0,0,0,0,0,0,0,0,0,0,0.379,0.010,0.000,0,0,0,0,0,0,0
travel,0.462,11.1,136.334,136.334,fly,0.719,ok,2601,0,0,192.00,236822528,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.379,0.010,0.000,0,0,0,101,101,0,0
travel,0.492,11.8,136.845,136.845,fly,0.736,ok,2601,0,0,192.00,236826624,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.378,0.011,0.000,0,0,0,101,101,0,0
travel,0.522,12.5,137.357,137.357,fly,0.845,ok,2601,0,0,192.00,236830720,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.403,0.022,0.000,0,0,0,101,101,0,0
travel,0.552,13.2,137.866,137.866,fly,0.791,ok,2601,0,0,192.00,236830720,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.401,0.019,0.000,0,0,0,101,101,0,0
travel,0.582,14.0,138.380,138.380,fly,0.706,ok,2601,0,0,192.00,236830720,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.368,0.010,0.000,0,0,0,101,101,0,0
travel,0.612,14.7,138.890,138.890,fly,0.725,ok,2601,0,0,192.00,236830720,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.377,0.010,0.000,0,0,0,101,101,0,0
travel,0.643,15.4,139.404,139.404,fly,0.712,ok,2601,0,0,192.00,236834816,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.376,0.010,0.000,0,0,0,101,101,0,0
travel,0.673,16.1,139.916,139.916,fly,0.952,ok,2601,0,0,192.00,236834816,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.498,0.023,0.000,0,0,0,101,101,0,0
travel,0.703,16.9,140.429,140.429,fly,0.795,ok,2601,0,0,192.00,236834816,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.384,0.022,0.000,0,0,0,101,101,0,0
travel,0.733,17.6,140.940,140.940,fly,1.185,ok,2601,0,0,192.00,236834816,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.759,0.021,0.000,0,0,0,101,101,0,0
travel,0.764,18.3,141.458,141.458,fly,0.926,ok,2601,0,0,192.00,236834816,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.415,0.023,0.000,0,0,0,101,101,0,0
travel,0.794,19.0,141.970,141.970,fly,0.731,ok,2601,0,0,192.00,236834816,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.380,0.021,0.000,0,0,0,101,101,0,0
travel,0.824,19.8,142.483,142.483,fly,0.717,ok,2601,0,0,192.00,236834816,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.380,0.010,0.000,0,0,0,101,101,0,0
travel,0.854,20.5,142.994,142.994,fly,0.716,ok,2601,0,0,192.00,236834816,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.378,0.010,0.000,0,0,0,101,101,0,0
travel,0.884,21.2,143.505,143.505,fly,0.749,ok,2601,0,0,192.00,236834816,318980096,114090264,95883264,18123768,2702,3724880,22132800,958,101,101,0,0,0,0,0,0,0,0,0.394,0.022,0.000,0,0,0,101,101,0,0
travel,0.918,22.0,144.082,144.082,fly,3.546,ok,2564,37,68,192.00,238694400,322129920,112467296,94519296,17865952,2766,7449760,20516136,958,165,202,32,0,129,32,32,32,0,0,0.580,0.021,0.000,0,0,0,165,165,0,0
