frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
46,45.0,walk,10.7523,0.0000,0.2241,0.1773,0.9354,0.0000,9.3929,0.0202,312,13583,0.0000,9.3541,0,6
47,46.0,walk,10.7824,0.0000,0.2473,0.1746,1.4956,0.0000,8.8423,0.0202,322,13583,0.0000,8.8017,0,10
48,47.0,walk,11.2563,0.0000,0.2354,0.1776,0.3187,0.0001,10.5031,0.0189,323,13583,0.0000,10.4726,0,1
49,48.0,walk,10.8289,0.0000,0.2413,0.1703,2.7785,0.0000,7.6160,0.0204,322,13583,7.1052,0.0000,99,18
50,49.0,walk,13.3073,0.0000,0.2517,0.1800,0.3417,0.0006,12.5075,0.0241,323,13583,0.0000,8.4511,0,1
51,50.0,walk,13.2566,0.0000,0.2868,0.1730,0.2651,0.0003,12.5093,0.0200,324,13583,0.0000,12.4765,0,1
52,51.0,walk,13.4875,0.0000,0.2332,0.1801,0.3217,0.0003,12.7031,0.0376,325,13583,0.0000,12.6612,0,1
53,52.0,walk,13.1056,0.0000,0.3183,0.3126,0.3257,0.0003,12.1081,0.0380,326,13583,0.0000,12.0652,0,1
54,53.0,walk,10.7218,0.0000,0.3072,0.2275,1.5193,0.0003,8.6451,0.0199,334,13583,0.0000,8.6043,0,8
55,54.0,walk,10.7701,0.0000,0.2334,0.1843,1.0764,0.0000,9.2535,0.0201,339,13583,0.0000,9.2137,0,5
56,55.0,walk,11.2330,0.0000,0.2376,0.1814,0.0000,0.0001,10.7900,0.0216,339,13583,0.0000,10.7618,0,0
57,56.0,walk,10.7130,0.0000,0.2434,0.1782,2.6404,0.0001,7.6263,0.0224,335,13583,7.1336,0.0000,95,15
58,57.0,walk,14.5302,0.0000,0.3460,0.2533,0.0000,0.0004,13.9016,0.0258,335,13583,0.0000,9.6952,0,0
59,58.0,walk,12.9785,0.0000,0.2637,0.1792,0.0000,0.0002,12.5134,0.0200,335,13583,0.0000,12.4878,0,0
60,59.0,walk,12.9483,0.0000,0.2397,0.1802,0.0000,0.0001,12.5062,0.0200,335,13583,0.0000,12.4812,0,0
61,60.0,walk,12.7496,0.0000,0.2418,0.1822,0.0000,0.0003,12.3029,0.0201,335,13583,0.0000,12.2763,0,0
62,61.0,walk,10.8148,0.0000,0.2399,0.1771,1.5917,0.0002,8.7837,0.0201,345,13583,0.0000,8.7450,0,10
63,62.0,walk,10.8689,0.0000,0.2321,0.1858,0.0000,0.0001,10.4268,0.0219,345,13583,0.0000,10.4001,0,0
64,63.0,walk,10.7147,0.0000,0.2370,0.1784,0.0000,0.0001,10.2758,0.0212,345,13583,0.0000,10.2488,0,0
65,64.0,walk,10.8204,0.0000,0.2479,0.1706,3.0539,0.0001,7.3257,0.0201,348,13583,6.8684,0.0000,93,22
66,66.0,sprint,14.4623,0.0000,0.2538,0.3655,0.0000,0.0002,13.8177,0.0227,348,13581,0.0000,9.8441,0,0
67,68.0,sprint,12.8618,0.0000,0.3165,0.3627,0.0000,0.0002,12.1588,0.0211,348,13579,0.0000,12.1331,0,0
68,70.0,sprint,13.0753,0.0000,0.2506,0.3623,0.0000,0.0001,12.4388,0.0209,348,13577,0.0000,12.4117,0,0
69,72.0,sprint,59.6339,0.0000,0.2472,0.3581,0.5091,0.0004,58.4947,0.0220,330,13575,57.8114,0.0000,118,1
70,74.0,sprint,13.1538,0.0000,0.4208,0.3787,0.3524,0.0006,11.9681,0.0224,331,13573,0.0000,7.0805,0,1
71,76.0,sprint,13.0659,0.0000,0.4421,0.3878,0.3164,0.0006,11.8950,0.0208,332,13571,0.0000,11.8551,0,1
72,78.0,sprint,13.4919,0.0000,0.3319,0.3691,0.3121,0.0003,12.4552,0.0207,333,13569,0.0000,12.4136,0,1
73,80.0,sprint,22.9490,0.0000,0.2941,0.3794,0.4243,0.0004,21.8252,0.0227,315,13567,20.9128,0.0000,99,1
74,82.0,sprint,13.2627,0.0000,0.4635,0.3790,0.3907,0.0004,12.0028,0.0237,316,13565,0.0000,6.5137,0,1
75,84.0,sprint,13.2677,0.0000,0.5279,0.3882,0.3734,0.0005,11.9542,0.0204,317,13563,0.0000,11.8931,0,1
76,86.0,sprint,13.0885,0.0000,0.5410,0.3908,0.3355,0.0008,11.7882,0.0293,318,13561,0.0000,11.7416,0,1
77,88.0,sprint,27.5087,0.0000,0.4070,0.4229,0.4292,0.0004,26.2227,0.0229,300,13561,25.2230,0.0000,95,1
78,90.0,sprint,13.5164,0.0000,0.5665,0.3874,0.3487,0.0005,12.1871,0.0222,301,13561,0.0000,6.3893,0,1
79,92.0,sprint,13.0932,0.0000,0.4516,0.3843,0.3248,0.0004,11.9059,0.0220,302,13561,0.0000,11.8651,0,1
80,94.0,sprint,13.3569,0.0000,0.3123,0.3871,0.3177,0.0004,12.3162,0.0202,303,13561,0.0000,12.2814,0,1
81,96.0,sprint,24.9493,0.0000,0.2725,0.3686,0.3807,0.0003,23.9043,0.0203,285,13561,23.2945,0.0000,93,1
82,98.0,sprint,13.3557,0.0000,0.2690,0.3835,0.2857,0.0003,12.3937,0.0211,286,13561,0.0000,7.4378,0,1
83,100.0,sprint,13.0933,0.0000,0.3016,0.3857,0.2708,0.0004,12.1111,0.0208,287,13561,0.0000,12.0743,0,1
84,102.0,sprint,13.1674,0.0000,0.2894,0.3733,0.3497,0.0004,12.1196,0.0201,288,13561,0.0000,12.0850,0,1
85,104.0,sprint,68.8303,0.0000,0.2655,0.3765,0.5452,0.0006,67.6101,0.0222,270,13561,66.7270,0.0000,118,1
86,106.0,sprint,13.5562,0.0000,0.4236,0.3935,0.3783,0.0003,12.3365,0.0215,271,13561,0.0000,7.2213,0,1
87,108.0,sprint,13.1696,0.0000,0.3243,0.3772,0.3532,0.0003,12.0729,0.0389,272,13561,0.0000,12.0263,0,1
88,110.0,sprint,13.3599,0.0000,0.2864,0.3759,0.2982,0.0003,12.3757,0.0210,273,13561,0.0000,12.3357,0,1
89,112.0,sprint,24.0505,0.0000,0.2884,0.3660,0.3921,0.0003,22.9811,0.0205,255,13561,22.4579,0.0000,99,1
90,114.0,sprint,13.1553,0.0000,0.2868,0.3647,0.3128,0.0004,12.1666,0.0216,256,13561,0.0000,6.8521,0,1
91,116.0,sprint,13.1848,0.0000,0.3362,0.3857,0.2826,0.0003,12.1567,0.0206,257,13561,0.0000,12.1120,0,1
92,118.0,sprint,13.0973,0.0000,0.2656,0.3862,0.2910,0.0004,12.1314,0.0201,258,13561,0.0000,12.0937,0,1
93,120.0,sprint,21.6350,0.0000,0.2617,0.3850,0.3549,0.0003,20.6108,0.0201,240,13561,20.1026,0.0000,95,1
94,122.0,sprint,13.2887,0.0000,0.2653,0.3818,0.2937,0.0003,12.3248,0.0204,241,13561,0.0000,7.4912,0,1
95,124.0,sprint,13.2875,0.0000,0.2950,0.3798,0.2880,0.0002,12.3014,0.0204,242,13561,0.0000,12.2590,0,1
96,126.0,sprint,13.2689,0.0000,0.2810,0.3744,0.3538,0.0002,12.2374,0.0197,243,13561,0.0000,12.1999,0,1
97,128.0,sprint,24.8133,0.0000,0.3020,0.5097,0.4069,0.0002,23.5707,0.0207,225,13561,23.0076,0.0000,93,1
98,132.0,free_fly,13.2154,0.0000,0.3579,0.7221,0.3522,0.0003,11.7519,0.0203,226,13559,0.0000,6.8951,0,1
99,136.0,free_fly,70.5957,0.0000,0.3288,0.6980,0.5301,0.0003,69.0155,0.0207,208,13557,68.3690,0.0000,118,1
100,140.0,free_fly,13.0568,0.0000,0.3614,0.7313,0.2889,0.0003,11.6519,0.0206,209,13555,0.0000,6.5160,0,1
101,144.0,free_fly,28.0927,0.0000,0.3311,0.7234,0.3655,0.0003,26.6511,0.0191,191,13553,26.1542,0.0000,99,1
102,148.0,free_fly,13.4937,0.0000,0.3040,0.7475,0.3355,0.0004,12.0640,0.0398,192,13551,0.0000,7.4560,0,1
103,152.0,free_fly,41.1732,0.0000,0.4120,1.1116,0.4228,0.0003,39.2023,0.0212,174,13549,38.5192,0.0000,95,1
104,156.0,free_fly,13.4463,0.0000,0.3744,0.7260,0.3717,0.0003,11.9322,0.0391,175,13549,0.0000,6.5460,0,1
105,160.0,free_fly,42.8377,0.0000,0.3905,0.7865,0.4334,0.0003,41.2032,0.0211,157,13549,40.5946,0.0000,93,1
106,164.0,free_fly,13.1747,0.0000,0.3819,0.7311,0.3302,0.0004,11.6987,0.0209,158,13549,0.0000,6.3901,0,1
107,168.0,free_fly,88.1271,0.0000,0.3046,0.7318,0.4894,0.0002,86.5770,0.0218,140,13549,85.8822,0.0000,118,1
108,172.0,free_fly,13.4341,0.0000,0.3984,0.7078,0.3437,0.0004,11.9606,0.0210,141,13549,0.0000,5.8914,0,1
109,176.0,free_fly,43.3976,0.0000,0.3280,0.7288,0.3924,0.0003,41.9250,0.0204,123,13549,41.3880,0.0000,99,1
110,180.0,free_fly,13.3863,0.0000,0.3035,0.7103,0.3632,0.0004,11.9689,0.0375,124,13549,0.0000,6.6094,0,1
111,184.0,free_fly,41.6419,0.0000,0.3451,0.7184,0.4073,0.0003,40.1440,0.0241,106,13549,39.5662,0.0000,95,1
112,188.0,free_fly,13.4050,0.0000,0.3260,0.7896,0.2971,0.0003,11.9668,0.0211,107,13549,0.0000,6.5337,0,1
113,192.0,free_fly,42.8580,0.0000,0.3221,0.7254,0.4003,0.0003,41.3870,0.0203,90,13549,40.8446,0.0000,93,1
114,192.0,free_fly,13.1557,0.0000,0.0000,0.0000,0.2968,0.0002,12.8283,0.0204,91,13549,0.0000,7.8333,0,1
115,192.0,free_fly,13.0871,0.0000,0.0000,0.0000,0.3542,0.0003,12.7120,0.0196,92,13549,0.0000,12.6695,0,1
116,192.0,free_fly,13.0950,0.0000,0.0000,0.0000,0.2826,0.0003,12.7908,0.0203,93,13549,0.0000,12.7473,0,1
117,192.0,free_fly,13.1369,0.0000,0.0000,0.0000,0.2881,0.0003,12.8271,0.0203,94,13549,0.0000,12.7859,0,1
118,192.0,free_fly,13.2603,0.0000,0.0000,0.0000,0.2741,0.0003,12.9657,0.0192,95,13549,0.0000,12.9230,0,1
119,192.0,free_fly,13.2585,0.0000,0.0000,0.0000,0.4042,0.0003,12.8335,0.0196,96,13549,0.0000,12.7921,0,1
