col,auth_near_deg,auth_32_50_deg,auth_50_80_deg,auth_80_128_deg,render_near_top_deg,render_far_bottom_deg,render_gap_deg,class
312,-0.011,-1.386,-1.206,-1.176,-1.042,-99.000,0.000,no_far
316,-0.005,-1.388,-1.203,-1.177,-1.044,-99.000,0.000,no_far
320,0.002,-1.390,-1.210,-1.178,-1.047,-99.000,0.000,no_far
324,0.002,-1.392,-1.211,-1.179,-1.049,-99.000,0.000,no_far
328,-0.020,-1.393,-1.211,-1.180,-1.051,-99.000,0.000,no_far
332,-0.041,-1.394,-1.216,-1.181,-1.054,-99.000,0.000,no_far
336,-0.062,-1.394,-1.218,-1.181,-1.056,-99.000,0.000,no_far
340,-0.082,-1.395,-1.221,-1.182,-1.059,-99.000,0.000,no_far
344,-0.102,-1.395,-1.222,-1.182,-1.061,-99.000,0.000,no_far
348,-0.121,-1.396,-1.220,-1.182,-1.063,-99.000,0.000,no_far
352,-0.141,-1.397,-1.221,-1.183,-1.066,-99.000,0.000,no_far
356,-0.159,-1.397,-1.218,-1.183,-1.068,-99.000,0.000,no_far
360,-0.177,-1.397,-1.219,-1.182,-1.070,-99.000,0.000,no_far
364,-0.195,-1.397,-1.218,-1.182,-1.072,-99.000,0.000,no_far
368,-0.213,-1.397,-1.217,-1.182,-1.075,-99.000,0.000,no_far
372,-0.230,-1.397,-1.219,-1.182,-1.077,-99.000,0.000,no_far
376,-0.246,-1.397,-1.218,-1.181,-1.079,-99.000,0.000,no_far
380,-0.262,-1.397,-1.219,-1.180,-1.081,-99.000,0.000,no_far
384,-0.277,-1.397,-1.218,-1.180,-1.083,-99.000,0.000,no_far
388,-0.292,-1.397,-1.218,-1.179,-1.086,-99.000,0.000,no_far
392,-0.304,-1.397,-1.216,-1.178,-1.088,-99.000,0.000,no_far
396,-0.306,-1.397,-1.214,-1.177,-1.090,-99.000,0.000,no_far
400,-0.310,-1.397,-1.209,-1.176,-1.092,-99.000,0.000,no_far
404,-0.313,-1.397,-1.206,-1.175,-1.094,-99.000,0.000,no_far
408,-0.314,-1.397,-1.199,-1.174,-1.096,-99.000,0.000,no_far
412,-0.315,-1.397,-1.197,-1.173,-1.098,-99.000,0.000,no_far
416,-0.314,-1.397,-1.192,-1.172,-1.100,-99.000,0.000,no_far
420,-0.311,-1.397,-1.184,-1.171,-1.102,-99.000,0.000,no_far
424,-0.308,-1.397,-1.175,-1.169,-1.104,-99.000,0.000,no_far
428,-0.303,-1.397,-1.167,-1.168,-1.106,-99.000,0.000,no_far
432,-0.297,-1.396,-1.164,-1.167,-1.108,-99.000,0.000,no_far
436,-0.290,-1.395,-1.157,-1.166,-1.109,-99.000,0.000,no_far
440,-0.282,-1.395,-1.151,-1.165,-1.111,-99.000,0.000,no_far
444,-0.272,-1.394,-1.142,-1.164,-1.113,-99.000,0.000,no_far
448,-0.261,-1.393,-1.132,-1.162,-1.115,-99.000,0.000,no_far
452,-0.248,-1.392,-1.121,-1.161,-1.116,-99.000,0.000,no_far
456,-0.235,-1.391,-1.114,-1.160,-1.118,-99.000,0.000,no_far
460,-0.219,-1.389,-1.108,-1.159,-1.120,-99.000,0.000,no_far
464,-0.203,-1.387,-1.101,-1.159,-1.121,-99.000,0.000,no_far
468,-0.185,-1.385,-1.092,-1.158,-1.123,-99.000,0.000,no_far
472,-0.166,-1.383,-1.081,-1.157,-1.125,-99.000,0.000,no_far
476,-0.145,-1.380,-1.070,-1.157,-1.126,-99.000,0.000,no_far
480,-0.123,-1.377,-1.059,-1.156,-1.128,-99.000,0.000,no_far
484,-0.100,-1.374,-1.048,-1.151,-1.045,-99.000,0.000,no_far
488,-0.075,-1.370,-1.032,-1.141,-1.046,-99.000,0.000,no_far
492,-0.049,-1.366,-1.014,-1.125,-1.048,-99.000,0.000,no_far
496,-0.022,-1.362,-0.996,-1.109,-1.049,-99.000,0.000,no_far
500,0.007,-1.358,-0.980,-1.097,-1.050,-99.000,0.000,no_far
504,0.037,-1.353,-0.962,-1.093,-0.967,-99.000,0.000,no_far
508,0.069,-1.349,-0.948,-1.094,-0.968,-99.000,0.000,no_far
512,0.102,-1.344,-0.929,-1.094,-0.969,-99.000,0.000,no_far
516,0.137,-1.340,-0.903,-1.095,-0.970,-99.000,0.000,no_far
520,0.173,-1.336,-0.882,-1.096,-0.886,-99.000,0.000,no_far
524,0.210,-1.332,-0.860,-1.097,-0.887,-99.000,0.000,no_far
528,0.249,-1.328,-0.841,-1.098,-0.888,-99.000,0.000,no_far
532,0.264,-1.324,-0.827,-1.100,-0.889,-99.000,0.000,no_far
536,0.277,-1.320,-0.803,-1.101,-0.804,-99.000,0.000,no_far
540,0.291,-1.315,-0.771,-1.103,-0.805,-99.000,0.000,no_far
544,0.305,-1.311,-0.740,-1.105,-0.806,-99.000,0.000,no_far
548,0.319,-1.307,-0.716,-1.107,-0.721,-99.000,0.000,no_far
552,0.332,-1.297,-0.704,-1.109,-0.721,-99.000,0.000,no_far
556,0.330,-1.285,-0.690,-1.111,-0.722,-99.000,0.000,no_far
560,0.335,-1.274,-0.660,-1.113,-0.722,-99.000,0.000,no_far
564,0.393,-1.262,-0.622,-1.116,-0.637,-99.000,0.000,no_far
568,0.454,-1.247,-0.589,-1.118,-0.638,-99.000,0.000,no_far
572,0.503,-1.229,-0.569,-1.120,-0.638,-99.000,0.000,no_far
576,0.517,-1.210,-0.555,-1.123,-0.553,-99.000,0.000,no_far
580,0.498,-1.189,-0.532,-1.125,-0.553,-99.000,0.000,no_far
584,0.509,-1.174,-0.499,-1.127,-0.553,-99.000,0.000,no_far
588,0.541,-1.158,-0.453,-1.130,-0.468,-99.000,0.000,no_far
592,0.574,-1.140,-0.423,-1.133,-0.468,-99.000,0.000,no_far
596,0.608,-1.121,-0.414,-1.135,-0.468,-99.000,0.000,no_far
600,0.643,-1.103,-0.402,-1.138,-0.468,-99.000,0.000,no_far
604,0.657,-1.085,-0.371,-1.141,-0.383,-99.000,0.000,no_far
608,0.658,-1.067,-0.328,-1.144,-0.383,-99.000,0.000,no_far
612,0.658,-1.049,-0.295,-1.147,-0.297,-99.000,0.000,no_far
616,0.659,-1.032,-0.280,-1.150,-0.297,-99.000,0.000,no_far
620,0.661,-1.016,-0.268,-1.153,-0.297,-99.000,0.000,no_far
624,0.662,-1.001,-0.239,-1.156,-0.297,-99.000,0.000,no_far
628,0.664,-0.987,-0.185,-1.159,-0.297,-99.000,0.000,no_far
632,0.666,-0.974,-0.167,-1.162,-0.297,-99.000,0.000,no_far
636,0.668,-0.960,-0.154,-1.165,-0.297,-99.000,0.000,no_far
640,0.670,-0.945,-0.140,-1.168,-0.297,-99.000,0.000,no_far
644,0.672,-0.932,-0.102,-1.171,-0.297,-99.000,0.000,no_far
648,0.675,-0.919,-0.061,-1.175,-0.297,-99.000,0.000,no_far
652,0.678,-0.904,-0.050,-1.178,-0.297,-99.000,0.000,no_far
656,0.681,-0.887,-0.041,-1.181,-0.297,-0.040,0.257,BASIN_A
660,0.671,-0.877,-0.010,-1.185,-0.297,-0.040,0.257,BASIN_A
