frame,distance_m,cpu_ms,live_ms,far_field_ms,lookahead_ms,draw_ms,packages_built,far_tiles_built,resident_packages,resident_cells
1,0.0,11.0405,10.7141,0.0000,0.0000,0.0658,9,0,1207,12853
2,4.0,11.2351,9.8077,0.0000,0.0000,0.0821,7,0,1214,13363
3,8.0,11.1829,10.3320,0.0000,0.0000,0.0687,9,0,1193,13511
4,12.0,11.5134,10.7066,0.0000,0.0000,0.0676,8,0,1201,13541
5,16.0,11.4928,10.6882,0.0000,0.0000,0.0708,8,0,1176,13547
6,20.0,11.2728,10.2008,0.0000,0.0000,0.0600,8,0,1184,13549
7,24.0,10.8070,10.0118,0.0000,0.0000,0.0789,7,0,1157,13549
8,28.0,11.6058,10.8169,0.0000,0.0000,0.0662,9,0,1166,13549
9,32.0,12.4272,11.6338,0.0000,0.0000,0.0739,7,0,1138,13549
10,36.0,11.5912,10.8124,0.0000,0.0000,0.0623,9,0,1147,13549
11,40.0,11.5399,10.7124,0.0000,0.0000,0.0705,6,0,1118,13549
12,44.0,10.7654,9.9574,0.0000,0.0000,0.0621,9,0,1127,13549
13,48.0,11.2491,10.4436,0.0000,0.0000,0.0652,7,0,1099,13549
14,52.0,11.3067,10.5102,0.0000,0.0000,0.0601,8,0,1107,13549
15,56.0,11.2261,10.4177,0.0000,0.0000,0.0716,10,0,1082,13549
16,60.0,12.3225,11.5140,0.0000,0.0000,0.0782,9,0,1091,13549
17,64.0,11.6171,10.6466,0.0000,0.0000,0.0758,9,0,1065,13549
18,68.0,11.4601,10.6446,0.0000,0.0000,0.0671,10,0,1075,13549
19,72.0,11.3463,10.2349,0.0000,0.0000,0.0716,8,0,1048,13549
20,76.0,11.2070,10.3755,0.0000,0.0000,0.0612,8,0,1056,13549
21,80.0,11.0597,10.1533,0.0000,0.0000,0.0711,10,0,1031,13549
22,84.0,11.4829,10.5844,0.0000,0.0000,0.0634,10,0,1041,13549
23,88.0,11.2977,10.4358,0.0000,0.0000,0.0737,9,0,1015,13549
24,92.0,11.1570,10.2770,0.0000,0.0000,0.0646,9,0,1024,13549
25,96.0,11.8232,10.9516,0.0000,0.0000,0.0696,7,0,996,13549
26,100.0,10.7499,9.8800,0.0000,0.0000,0.0695,7,0,1003,13549
27,104.0,12.8262,11.9438,0.0000,0.0000,0.0749,8,0,976,13549
28,108.0,10.7592,9.8601,0.0000,0.0000,0.0620,8,0,984,13549
29,112.0,11.5586,10.6073,0.0000,0.0000,0.0809,8,0,957,13549
30,116.0,11.3747,10.3919,0.0000,0.0000,0.0668,8,0,965,13549
31,120.0,11.2053,10.3043,0.0000,0.0000,0.0754,9,0,939,13549
32,124.0,11.3394,10.4385,0.0000,0.0000,0.0620,8,0,947,13549
33,128.0,10.9540,10.0427,0.0000,0.0000,0.0746,8,0,920,13549
34,132.0,10.9579,10.0682,0.0000,0.0000,0.0718,7,0,927,13549
35,136.0,11.5629,10.6711,0.0000,0.0000,0.0711,8,0,900,13549
36,140.0,11.7007,10.7940,0.0000,0.0000,0.0683,9,0,909,13549
37,144.0,11.0206,10.1385,0.0000,0.0000,0.0694,8,0,882,13549
38,148.0,12.0700,11.1950,0.0000,0.0000,0.0661,9,0,891,13549
39,152.0,11.2527,10.3639,0.0000,0.0000,0.0776,8,0,864,13549
40,156.0,10.8038,9.9317,0.0000,0.0000,0.0653,8,0,872,13549
41,160.0,11.2743,10.1934,0.0000,0.0000,0.0834,8,0,845,13549
42,164.0,11.0050,10.1448,0.0000,0.0000,0.0849,7,0,852,13549
43,168.0,11.3947,10.5381,0.0000,0.0000,0.0849,8,0,825,13549
44,172.0,11.8022,10.9196,0.0000,0.0000,0.0673,8,0,833,13549
45,176.0,11.8646,10.9961,0.0000,0.0000,0.0800,7,0,805,13549
46,180.0,11.2328,10.3721,0.0000,0.0000,0.0822,8,0,813,13549
47,184.0,10.8175,9.9170,0.0000,0.0000,0.0781,8,0,786,13549
48,188.0,11.7876,10.9389,0.0000,0.0000,0.0677,8,0,794,13549
49,192.0,11.6403,10.7742,0.0000,0.0000,0.0894,8,0,767,13549
50,196.0,11.0539,10.2059,0.0000,0.0000,0.0685,7,0,774,13549
51,200.0,11.4587,10.6142,0.0000,0.0000,0.0758,7,0,746,13549
52,204.0,10.7705,9.9171,0.0000,0.0000,0.0747,9,0,755,13549
53,208.0,11.5970,10.6554,0.0000,0.0000,0.0820,9,0,729,13549
54,212.0,11.5239,10.6453,0.0000,0.0000,0.0725,8,0,737,13549
55,216.0,11.0319,10.1506,0.0000,0.0000,0.0846,9,0,711,13549
56,220.0,11.0536,10.1713,0.0000,0.0000,0.0741,9,0,720,13549
57,224.0,11.8233,10.9217,0.0000,0.0000,0.0820,8,0,693,13549
58,228.0,11.7421,10.6666,0.0000,0.0000,0.0766,7,0,700,13549
59,232.0,11.5318,10.5057,0.0000,0.0000,0.0891,9,0,674,13549
60,236.0,11.1124,10.1345,0.0000,0.0000,0.0741,7,0,681,13549
61,240.0,11.4392,10.5562,0.0000,0.0000,0.0831,8,0,654,13549
62,244.0,10.8612,10.0000,0.0000,0.0000,0.0731,7,0,661,13549
63,248.0,11.4791,10.5744,0.0000,0.0000,0.0852,9,0,635,13549
64,252.0,12.0409,11.1332,0.0000,0.0000,0.0748,8,0,643,13549
65,256.0,11.4996,10.6140,0.0000,0.0000,0.0845,9,0,617,13549
66,260.0,10.7576,9.8963,0.0000,0.0000,0.0737,9,0,626,13549
67,264.0,11.4988,10.6280,0.0000,0.0000,0.0883,9,0,600,13549
68,268.0,11.8446,10.9674,0.0000,0.0000,0.0753,8,0,608,13549
69,272.0,10.8964,10.0225,0.0000,0.0000,0.0773,8,0,582,13549
70,276.0,12.0424,11.1632,0.0000,0.0000,0.0774,8,0,590,13549
71,280.0,11.3410,10.4667,0.0000,0.0000,0.0868,10,0,567,13549
72,284.0,10.9343,10.0920,0.0000,0.0000,0.0759,9,0,576,13549
73,288.0,10.7828,9.9414,0.0000,0.0000,0.0832,9,0,552,13549
74,292.0,10.9135,10.0847,0.0000,0.0000,0.0842,8,0,560,13549
75,296.0,12.2165,11.3817,0.0000,0.0000,0.0891,8,0,540,13549
76,300.0,11.6804,10.8749,0.0000,0.0000,0.0762,8,0,548,13549
77,304.0,10.9274,10.0748,0.0000,0.0000,0.0911,7,0,529,13549
78,308.0,11.6431,10.8216,0.0000,0.0000,0.0770,7,0,536,13549
79,312.0,11.8603,10.8124,0.0000,0.0000,0.0845,7,0,517,13549
80,316.0,11.4083,10.5957,0.0000,0.0000,0.0768,7,0,524,13549
81,320.0,12.2694,11.4421,0.0000,0.0000,0.0871,9,0,507,13549
82,324.0,12.5334,11.6980,0.0000,0.0000,0.0788,8,0,515,13549
83,328.0,11.6761,10.8315,0.0000,0.0000,0.0840,9,0,500,13549
84,332.0,11.0781,10.2340,0.0000,0.0000,0.0756,7,0,507,13549
85,336.0,11.6698,10.6405,0.0000,0.0000,0.0910,8,0,491,13549
86,340.0,29.3469,28.4655,0.0000,0.0000,0.0850,4,0,495,13549
87,344.0,11.4806,10.3038,0.0000,0.0000,0.0919,8,0,479,13549
88,348.0,11.2816,10.3295,0.0000,0.0000,0.0958,9,0,488,13549
89,352.0,11.1417,10.2746,0.0000,0.0000,0.0955,10,0,474,13549
90,356.0,11.4762,10.6088,0.0000,0.0000,0.0782,9,0,483,13549
91,360.0,11.0829,10.2608,0.0000,0.0000,0.0898,9,0,470,13549
92,364.0,10.9492,10.1048,0.0000,0.0000,0.0752,7,0,477,13549
93,368.0,10.7733,9.9437,0.0000,0.0000,0.0880,7,0,462,13549
94,372.0,11.2689,10.3861,0.0000,0.0000,0.0827,8,0,470,13549
95,376.0,11.4335,10.5776,0.0000,0.0000,0.1022,7,0,455,13549
96,380.0,11.0149,9.7371,0.0000,0.0000,0.0788,8,0,463,13549
97,384.0,11.3651,10.3651,0.0000,0.0000,0.0871,7,0,448,13549
98,388.0,11.6746,9.6959,0.0000,0.0000,0.0808,9,0,457,13549
99,392.0,11.7680,10.7095,0.0000,0.0000,0.0836,8,0,443,13549
100,396.0,11.8761,10.3918,0.0000,0.0000,0.0799,8,0,451,13549
101,400.0,11.4160,10.1225,0.0000,0.0000,0.0857,9,0,439,13549
102,404.0,11.2443,9.0016,0.0000,0.0000,0.0797,8,0,447,13549
103,408.0,10.9934,9.5466,0.0000,0.0000,0.0861,9,0,436,13549
104,412.0,11.4886,9.9173,0.0000,0.0000,0.0798,10,0,446,13549
105,416.0,36.1504,34.8986,0.0000,0.0000,0.1235,3,0,429,13549
106,420.0,11.0685,7.4045,0.0000,0.0000,0.0826,8,0,437,13549
107,424.0,11.4348,8.8072,0.0000,0.0000,0.0857,8,0,425,13549
108,428.0,12.2491,8.5969,0.0000,0.0000,0.0805,8,0,433,13549
109,432.0,11.6731,8.9802,0.0000,0.0000,0.0857,9,0,422,13549
