TransactionId,Fixture,TransportClass,LooseMatterId,MaterialId,Material,Grams,SourceCell,DestinationCell,CauseWaterBodyId,Force,Resistance,Moved,IdentityPreserved,DestinationRemainsLoose,TerrainSolidsBefore,TerrainSolidsAfter,LooseBefore,LooseAfter,WaterBefore,WaterAfter,HeldBefore,HeldAfter,SourceTerrainRev,DestTerrainRev,WaterRev,CellsVisited,BodiesExamined,RefusedStale,RefusedInvalid,DestinationUnavailable,PendingRetained,DepositedAsTerrain,RoutedThrough16C
224f53e92d47478f,insufficient_hydraulic_forcing,insufficient_force,c0a04368b118f347,10df5aebf51f8b90,sandstone,80,33,289,0000000000000000,50,200,0,1,1,353566960349,353566960349,80,80,466363002,466363002,1000000054337,1000000054337,5,5,11,4,0,0,0,0,0,0,0
4d0dd87a010e31f3,heavy_resistant_parcel,resistant_parcel,c0a04368b118f347,10df5aebf51f8b90,sandstone,80,33,289,0000000000000000,400,2500,0,1,1,353566960349,353566960349,80,80,466363002,466363002,1000000054337,1000000054337,5,5,11,4,0,0,0,0,0,0,0
0dffe455ae0b6a44,one_hop_flow_transport,other_flow_hop,c0a04368b118f347,10df5aebf51f8b90,sandstone,80,33,289,0000000000000000,400,200,1,1,1,353566960349,353566960349,80,80,466363002,466363002,1000000054337,1000000054337,5,5,11,5,0,0,0,0,0,0,0
