TransactionId,Fixture,SettleClass,LooseMatterId,MaterialId,Material,Grams,SourceCell,RestingCell,CauseWaterBodyId,Force,Resistance,Settled,MotionBefore,MotionAfter,IdentityPreserved,DestinationRemainsLoose,TerrainSolidsBefore,TerrainSolidsAfter,LooseBefore,LooseAfter,WaterBefore,WaterAfter,HeldBefore,HeldAfter,SourceTerrainRev,DestTerrainRev,WaterRev,LooseRev,CellsVisited,BodiesExamined,RefusedStale,RefusedInvalid,DestinationUnavailable,PendingRetained,DepositedAsTerrain,RoutedThrough16C,Aggregated
ab0ed112b03ee84c,forcing_above_transport_threshold,forcing_above_threshold,c0a04368b118f347,10df5aebf51f8b90,sandstone,80,289,289,0000000000000000,800,200,0,in_transport,in_transport,1,1,353566960349,353566960349,80,80,466363002,466363002,1000000054337,1000000054337,5,5,11,0,5,0,0,0,0,0,0,0,0
0e6afbcb51cea5ba,supported_low_energy_settle,supported_low_energy,c0a04368b118f347,10df5aebf51f8b90,sandstone,80,289,289,0000000000000000,0,200,1,in_transport,settled,1,1,353566960349,353566960349,80,80,466363002,466363002,1000000054337,1000000054337,5,5,11,0,5,0,0,0,0,0,0,0,0
