frame,elapsed_s,x,y,frame_ms,cpu_ms,draw_ms,finish_ms,present_ms,terrain_ms,complete_radius_m,pending_packages
60,1.017206,2.000,-6.915,17.009000,16.934600,0.289100,0.000000,0.046800,16.561700,192.000,37
61,1.033693,2.000,-6.830,16.487500,16.370200,0.195100,0.000000,0.025000,16.104100,192.000,36
62,1.050203,2.000,-6.748,16.509600,16.449700,0.145700,0.000000,0.026100,16.243800,192.000,35
63,1.066958,2.000,-6.665,16.754900,16.695500,0.160100,0.000000,0.026600,16.475700,192.000,34
64,1.083586,2.000,-6.581,16.628200,16.563900,0.144500,0.000000,0.026300,16.358600,192.000,33
65,1.100601,2.000,-6.498,17.015000,16.957000,0.273500,0.000000,0.027000,16.614900,192.000,32
66,1.116899,2.000,-6.413,16.297800,16.232300,0.163000,0.000000,0.026100,16.001900,192.000,31
67,1.133702,2.000,-6.332,16.803100,16.731600,0.143300,0.000000,0.085100,16.469700,192.000,30
68,1.150562,2.000,-6.247,16.859800,16.734900,0.292000,0.000000,0.051100,16.358500,192.000,29
69,1.167183,2.000,-6.163,16.621000,16.515600,0.268000,0.000000,0.043100,16.171100,192.000,28
70,1.183571,2.000,-6.080,16.388200,16.299800,0.154600,0.000000,0.025800,16.074700,192.000,27
71,1.200239,2.000,-5.998,16.668000,16.606600,0.138400,0.000000,0.025800,16.408100,192.000,26
72,1.217014,2.000,-5.915,16.775500,16.721800,0.159300,0.000000,0.023500,16.508000,192.000,25
73,1.233633,2.000,-5.831,16.618600,16.567000,0.203800,0.000000,0.028600,16.311700,192.000,24
74,1.250649,2.000,-5.748,17.016000,16.948200,0.303100,0.000000,0.048700,16.566400,192.000,23
75,1.266901,2.000,-5.663,16.252500,16.122100,0.166600,0.000000,0.026100,15.871600,192.000,22
76,1.283624,2.000,-5.582,16.723100,16.661100,0.154000,0.000000,0.026000,16.447300,192.000,21
77,1.300331,2.000,-5.498,16.706400,16.624100,0.196400,0.000000,0.034200,16.359900,192.000,20
78,1.316965,2.000,-5.414,16.634400,16.559600,0.170400,0.000000,0.021500,16.324700,192.000,19
79,1.333653,2.000,-5.331,16.687300,16.610900,0.158500,0.000000,0.025900,16.388600,192.000,18
80,1.350188,2.000,-5.248,16.535000,16.483200,0.135000,0.000000,0.020900,16.283000,192.000,17
81,1.367003,2.000,-5.165,16.815900,16.766600,0.209100,0.000000,0.032400,16.495700,192.000,16
82,1.383636,2.000,-5.081,16.632700,16.569800,0.183200,0.000000,0.027200,16.324300,192.000,15
83,1.400271,2.000,-4.998,16.635100,16.588800,0.144300,0.000000,0.021600,16.398300,192.000,14
84,1.417207,2.000,-4.915,16.935400,16.888300,0.253600,0.000000,0.025800,16.580000,192.000,13
85,1.433508,2.000,-4.830,16.300900,16.241300,0.144000,0.000000,0.022000,16.038700,192.000,12
86,1.450229,2.000,-4.749,16.721800,16.667900,0.135900,0.000000,0.025900,16.476800,192.000,11
87,1.467021,2.000,-4.665,16.791300,16.730200,0.202700,0.000000,0.031000,16.461500,192.000,10
88,1.483690,2.000,-4.581,16.669600,16.603900,0.169500,0.000000,0.026200,16.374400,192.000,9
89,1.500362,2.000,-4.498,16.671500,16.581900,0.175400,0.000000,0.029500,16.282800,192.000,8
