frame,distance_m,cpu_ms,live_ms,far_field_ms,lookahead_ms,draw_ms,packages_built,far_tiles_built,resident_packages,resident_cells
69,272.0,10.7194,9.8871,0.0000,0.0000,0.0258,9,0,286,13549
70,276.0,11.3203,10.5506,0.0000,0.0000,0.0269,8,0,294,13549
71,280.0,10.9751,10.1654,0.0000,0.0000,0.0311,9,0,286,13549
72,284.0,11.1717,10.2214,0.0000,0.0000,0.0254,10,0,296,13549
73,288.0,11.6462,10.8555,0.0000,0.0000,0.0270,10,0,289,13549
74,292.0,12.0054,11.2384,0.0000,0.0000,0.0269,10,0,299,13549
75,296.0,11.0857,10.2918,0.0000,0.0000,0.0294,9,0,291,13549
76,300.0,11.6303,10.6954,0.0000,0.0000,0.0238,8,0,299,13549
77,304.0,11.3024,10.5285,0.0000,0.0000,0.0250,8,0,290,13549
78,308.0,12.1723,11.3822,0.0000,0.0000,0.0234,8,0,298,13549
79,312.0,11.5378,10.7608,0.0000,0.0000,0.0234,7,0,288,13549
80,316.0,10.7668,9.9878,0.0000,0.0000,0.0311,8,0,296,13549
81,320.0,11.2986,10.4909,0.0000,0.0000,0.0271,6,0,285,13549
82,324.0,10.9074,10.1141,0.0000,0.0000,0.0262,9,0,294,13549
83,328.0,24.8781,24.0430,0.0000,0.0000,0.0385,6,0,283,13549
84,332.0,11.1353,10.0631,0.0000,0.0000,0.0280,7,0,290,13549
85,336.0,10.9243,9.9850,0.0000,0.0000,0.0327,7,0,280,13549
86,340.0,11.8473,11.0398,0.0000,0.0000,0.0267,9,0,289,13549
87,344.0,11.0280,10.2116,0.0000,0.0000,0.0296,9,0,281,13549
88,348.0,10.7832,10.0017,0.0000,0.0000,0.0284,9,0,290,13549
89,352.0,11.4886,10.6638,0.0000,0.0000,0.0444,10,0,283,13549
90,356.0,11.3141,10.4826,0.0000,0.0000,0.0241,9,0,292,13549
91,360.0,10.9190,10.1005,0.0000,0.0000,0.0298,8,0,283,13549
92,364.0,12.2442,11.4314,0.0000,0.0000,0.0304,8,0,291,13549
93,368.0,11.4182,10.6217,0.0000,0.0000,0.0265,8,0,282,13549
94,372.0,11.4432,10.5783,0.0000,0.0000,0.0248,8,0,290,13549
95,376.0,11.0143,10.2078,0.0000,0.0000,0.0278,7,0,280,13549
96,380.0,10.8544,10.0606,0.0000,0.0000,0.0254,8,0,288,13549
97,384.0,11.7344,10.9204,0.0000,0.0000,0.0288,8,0,279,13549
98,388.0,11.3577,10.4981,0.0000,0.0000,0.0271,9,0,288,13549
99,392.0,12.0741,11.2645,0.0000,0.0000,0.0290,8,0,279,13549
100,396.0,11.5393,10.7515,0.0000,0.0000,0.0294,8,0,287,13549
101,400.0,11.1390,10.2857,0.0000,0.0000,0.0310,9,0,279,13549
102,404.0,11.4619,10.6382,0.0000,0.0000,0.0287,9,0,288,13549
103,408.0,11.7115,10.5028,0.0000,0.0000,0.0361,10,0,281,13549
104,412.0,12.0512,11.0952,0.0000,0.0000,0.0295,7,0,288,13549
105,416.0,10.7984,9.8882,0.0000,0.0000,0.0308,9,0,280,13549
106,420.0,11.6951,10.8881,0.0000,0.0000,0.0259,8,0,288,13549
107,424.0,11.1053,10.2934,0.0000,0.0000,0.0293,8,0,279,13549
108,428.0,11.5066,10.7069,0.0000,0.0000,0.0284,8,0,287,13549
109,432.0,11.5319,10.6954,0.0000,0.0000,0.0276,7,0,277,13549
110,436.0,11.0546,10.1639,0.0000,0.0000,0.0241,7,0,284,13549
111,440.0,11.4815,10.6388,0.0000,0.0000,0.0333,4,0,271,13549
112,444.0,11.3233,8.6822,0.0000,0.0000,0.0277,6,0,277,13549
113,448.0,10.8557,9.1200,0.0000,0.0000,0.0319,6,0,266,13549
114,452.0,11.4653,8.1946,0.0000,0.0000,0.0333,8,0,274,13549
115,456.0,12.0737,10.2423,0.0000,0.0000,0.0309,9,0,266,13549
116,460.0,11.6457,8.8251,0.0000,0.0000,0.0238,8,0,274,13549
117,464.0,10.8733,8.8492,0.0000,0.0000,0.0323,7,0,264,13549
118,468.0,11.8638,8.3552,0.0000,0.0000,0.0296,9,0,273,13549
119,472.0,10.7137,7.9549,0.0000,0.0000,0.0314,8,0,264,13549
120,476.0,12.2141,8.8349,0.0000,0.0000,0.0299,9,0,273,13549
121,480.0,11.5310,9.5021,0.0000,0.0000,0.0334,10,0,266,13549
122,484.0,11.5017,8.9064,0.0000,0.0000,0.0273,8,0,274,13549
123,488.0,12.1127,10.5816,0.0000,0.0000,0.0326,10,0,267,13549
124,492.0,11.0139,8.4547,0.0000,0.0000,0.0287,8,0,275,13549
125,496.0,11.3135,9.8531,0.0000,0.0000,0.0309,8,0,266,13549
126,500.0,10.7474,8.0761,0.0000,0.0000,0.0291,8,0,274,13549
127,504.0,11.0768,9.4527,0.0000,0.0000,0.0305,8,0,265,13549
128,508.0,11.0830,7.4289,0.0000,0.0000,0.0252,7,0,272,13549
129,512.0,10.7103,7.8071,0.0000,0.0000,0.0279,7,0,262,13549
130,512.0,11.2780,11.2271,0.0000,0.0000,0.0278,10,0,272,13549
131,512.0,11.6593,11.6339,0.0000,0.0000,0.0229,9,0,281,13549
132,512.0,10.8409,10.8076,0.0000,0.0000,0.0227,9,0,290,13549
133,512.0,11.0129,10.9571,0.0000,0.0000,0.0463,10,0,300,13549
134,512.0,12.0820,12.0568,0.0000,0.0000,0.0225,10,0,310,13549
135,512.0,10.9457,10.9110,0.0000,0.0000,0.0247,9,0,319,13549
136,512.0,12.1445,12.1067,0.0000,0.0000,0.0284,8,0,327,13549
137,512.0,11.3583,11.3253,0.0000,0.0000,0.0231,10,0,337,13549
138,512.0,10.9056,10.8825,0.0000,0.0000,0.0195,9,0,346,13549
139,512.0,11.8373,11.8061,0.0000,0.0000,0.0206,9,0,355,13549
140,512.0,6.3053,6.2750,0.0000,0.0000,0.0199,6,0,361,13549
141,512.0,0.2663,0.0037,0.0000,0.0000,0.0082,0,0,361,13549
142,512.0,0.2396,0.0062,0.0000,0.0000,0.0148,0,0,361,13549
143,512.0,0.1518,0.0060,0.0000,0.0000,0.0125,0,0,361,13549
144,512.0,0.1843,0.0034,0.0000,0.0000,0.0065,0,0,361,13549
145,512.0,0.1871,0.0027,0.0000,0.0000,0.0055,0,0,361,13549
146,512.0,0.1816,0.0024,0.0000,0.0000,0.0052,0,0,361,13549
147,512.0,0.1869,0.0024,0.0000,0.0000,0.0052,0,0,361,13549
148,512.0,0.1618,0.0024,0.0000,0.0000,0.0052,0,0,361,13549
149,512.0,0.1460,0.0053,0.0000,0.0000,0.0116,0,0,361,13549
150,512.0,0.2463,0.0047,0.0000,0.0000,0.0101,0,0,361,13549
151,512.0,0.1873,0.0042,0.0000,0.0000,0.0088,0,0,361,13549
152,512.0,0.1462,0.0041,0.0000,0.0000,0.0085,0,0,361,13549
153,512.0,0.2113,0.0040,0.0000,0.0000,0.0083,0,0,361,13549
154,512.0,0.2037,0.0028,0.0000,0.0000,0.0057,0,0,361,13549
155,512.0,0.1834,0.0039,0.0000,0.0000,0.0086,0,0,361,13549
156,512.0,0.1831,0.0029,0.0000,0.0000,0.0059,0,0,361,13549
157,512.0,0.1843,0.0026,0.0000,0.0000,0.0053,0,0,361,13549
158,512.0,0.1491,0.0100,0.0000,0.0000,0.0153,0,0,361,13549
159,512.0,0.1952,0.0027,0.0000,0.0000,0.0056,0,0,361,13549
160,512.0,0.1687,0.0038,0.0000,0.0000,0.0084,0,0,361,13549
161,512.0,0.1724,0.0029,0.0000,0.0000,0.0056,0,0,361,13549
162,512.0,0.1881,0.0026,0.0000,0.0000,0.0053,0,0,361,13549
163,512.0,0.1531,0.0024,0.0000,0.0000,0.0052,0,0,361,13549
164,512.0,0.1910,0.0024,0.0000,0.0000,0.0051,0,0,361,13549
165,512.0,0.2498,0.0040,0.0000,0.0000,0.0102,0,0,361,13549
166,512.0,0.4898,0.0040,0.0000,0.0000,0.0100,0,0,361,13549
167,512.0,0.3940,0.0038,0.0000,0.0000,0.0099,0,0,361,13549
168,512.0,0.2904,0.0046,0.0000,0.0000,0.0109,0,0,361,13549
169,512.0,0.2821,0.0039,0.0000,0.0000,0.0102,0,0,361,13549
170,512.0,0.1965,0.0036,0.0000,0.0000,0.0096,0,0,361,13549
171,512.0,0.2588,0.0033,0.0000,0.0000,0.0066,0,0,361,13549
172,512.0,0.2426,0.0026,0.0000,0.0000,0.0055,0,0,361,13549
173,512.0,0.2139,0.0026,0.0000,0.0000,0.0052,0,0,361,13549
174,512.0,0.1798,0.0024,0.0000,0.0000,0.0051,0,0,361,13549
175,512.0,0.2510,0.0045,0.0000,0.0000,0.0106,0,0,361,13549
176,512.0,0.1809,0.0030,0.0000,0.0000,0.0061,0,0,361,13549
177,512.0,0.2357,0.0037,0.0000,0.0000,0.0089,0,0,361,13549
178,512.0,0.1766,0.0027,0.0000,0.0000,0.0054,0,0,361,13549
179,512.0,0.1749,0.0025,0.0000,0.0000,0.0051,0,0,361,13549
180,512.0,0.1913,0.0025,0.0000,0.0000,0.0052,0,0,361,13549
181,512.0,0.1531,0.0023,0.0000,0.0000,0.0052,0,0,361,13549
182,512.0,0.1746,0.0026,0.0000,0.0000,0.0055,0,0,361,13549
183,512.0,0.1511,0.0024,0.0000,0.0000,0.0052,0,0,361,13549
184,512.0,0.1732,0.0024,0.0000,0.0000,0.0051,0,0,361,13549
185,512.0,0.1536,0.0024,0.0000,0.0000,0.0051,0,0,361,13549
186,512.0,0.1683,0.0024,0.0000,0.0000,0.0051,0,0,361,13549
187,512.0,0.1390,0.0052,0.0000,0.0000,0.0123,0,0,361,13549
188,512.0,0.2513,0.0041,0.0000,0.0000,0.0084,0,0,361,13549
