frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells
58,57.0,walk,28.0868,0.0000,0.2812,0.2310,0.8405,0.0003,26.6826,0.0401,350,13583
59,58.0,walk,23.4001,0.0000,0.3197,0.2376,0.8552,0.0003,21.9635,0.0214,354,13583
60,59.0,walk,14.2081,0.0000,0.3477,0.2077,0.8670,0.0001,12.7627,0.0203,358,13583
61,60.0,walk,10.1573,0.0000,0.3247,0.2005,0.6429,0.0001,8.9660,0.0208,361,13583
62,61.0,walk,10.3129,0.0000,0.3168,0.2229,0.0000,0.0002,9.7470,0.0235,361,13583
63,62.0,walk,10.0511,0.0000,0.3877,0.2474,0.0000,0.0000,9.3908,0.0223,361,13583
64,63.0,walk,9.9701,0.0000,0.3631,0.2514,0.0000,0.0006,9.3304,0.0222,361,13583
65,64.0,walk,12.3388,0.0000,0.4106,0.2298,0.9977,0.0004,10.6752,0.0226,346,13583
66,66.0,sprint,41.2827,0.0000,0.5611,0.4283,1.0434,0.0006,39.2190,0.0274,350,13581
67,68.0,sprint,28.8408,0.0000,0.7635,0.3718,0.9328,0.0005,26.7439,0.0245,354,13579
68,70.0,sprint,15.5285,0.0000,0.4959,0.3732,0.8837,0.0005,13.7486,0.0238,358,13577
69,72.0,sprint,40.7865,0.0000,0.3294,0.3765,1.2344,0.0006,38.8198,0.0231,345,13575
70,74.0,sprint,38.3543,0.0000,0.5126,0.3937,1.0045,0.0006,36.3993,0.0311,349,13573
71,76.0,sprint,37.1280,0.0000,0.7765,0.4763,1.0912,0.0010,34.7404,0.0290,353,13571
72,78.0,sprint,20.9558,0.0000,0.8599,0.3668,1.1528,0.0006,18.5434,0.0279,357,13569
73,80.0,sprint,15.7229,0.0000,0.7313,0.3856,1.3860,0.0005,13.1863,0.0299,344,13567
74,82.0,sprint,44.1334,0.0000,0.6336,0.3673,1.1053,0.0008,41.9925,0.0301,348,13565
75,84.0,sprint,27.0272,0.0000,0.9189,0.4061,1.0217,0.0008,24.6498,0.0262,352,13563
76,86.0,sprint,17.9299,0.0000,0.6147,0.3926,1.0481,0.0007,15.8445,0.0257,356,13561
77,88.0,sprint,14.9885,0.0000,0.5901,0.3848,1.4710,0.0009,12.5130,0.0256,343,13561
78,90.0,sprint,42.9335,0.0000,0.6689,0.3249,1.0296,0.0005,40.8767,0.0286,347,13561
79,92.0,sprint,27.6639,0.0000,0.7766,0.4134,1.1511,0.0005,25.2800,0.0277,351,13561
80,94.0,sprint,23.1798,0.0000,0.7940,0.3946,0.9983,0.0006,20.9640,0.0251,355,13561
81,96.0,sprint,13.8061,0.0000,0.6500,0.3986,1.3418,0.0006,11.3889,0.0233,342,13561
82,98.0,sprint,40.4376,0.0000,0.5388,0.4061,1.0480,0.0006,38.4164,0.0244,346,13561
83,100.0,sprint,23.7450,0.0000,0.5470,0.3734,0.8793,0.0004,21.9202,0.0218,350,13561
84,102.0,sprint,13.8344,0.0000,0.3188,0.3728,0.8033,0.0002,12.3156,0.0210,354,13561
85,104.0,sprint,41.6191,0.0000,0.3078,0.3627,1.2217,0.0003,39.7014,0.0225,341,13561
86,106.0,sprint,43.7450,0.0000,0.4634,0.4941,1.1527,0.0012,41.6085,0.0235,345,13561
87,108.0,sprint,23.2478,0.0000,0.3683,0.4046,0.7922,0.0004,21.6590,0.0208,349,13561
88,110.0,sprint,13.9002,0.0000,0.3052,0.3675,0.8020,0.0004,12.3934,0.0209,353,13561
89,112.0,sprint,10.4934,0.0000,0.3037,0.3604,1.2126,0.0003,8.5935,0.0207,340,13561
90,114.0,sprint,38.8798,0.0000,0.3047,0.3782,0.8797,0.0005,37.2887,0.0258,344,13561
91,116.0,sprint,15.5101,0.0000,0.6316,0.3636,0.8487,0.0006,13.6401,0.0229,348,13561
92,118.0,sprint,10.3759,0.0000,0.3373,0.3732,0.7796,0.0004,8.8617,0.0211,352,13561
93,120.0,sprint,10.8132,0.0000,0.2976,0.3637,1.1378,0.0004,8.9904,0.0209,339,13561
94,122.0,sprint,36.7325,0.0000,0.3130,0.3761,0.8188,0.0004,35.2009,0.0212,343,13561
95,124.0,sprint,14.1531,0.0000,0.3564,0.3575,0.7574,0.0003,12.6587,0.0206,347,13561
96,126.0,sprint,10.5004,0.0000,0.3038,0.3181,0.7544,0.0003,9.1006,0.0210,351,13561
97,128.0,sprint,10.4004,0.0000,0.3153,0.3573,1.1312,0.0003,8.5752,0.0189,338,13561
98,132.0,free_fly,40.2912,0.0000,0.3290,0.6515,1.0203,0.0005,38.2624,0.0253,342,13559
99,136.0,free_fly,41.7848,0.0000,0.4701,0.5791,2.6936,0.0004,38.0163,0.0219,337,13557
100,140.0,free_fly,40.7537,0.0000,0.4504,0.6513,1.1562,0.0003,38.4629,0.0206,341,13555
101,144.0,free_fly,11.5069,0.0000,0.4072,0.5530,2.3417,0.0003,8.1812,0.0210,336,13553
102,148.0,free_fly,37.4656,0.0000,0.3401,0.6555,0.7996,0.0004,35.6471,0.0207,340,13551
103,152.0,free_fly,11.2788,0.0000,0.3751,0.5926,2.2961,0.0004,7.9936,0.0188,335,13549
104,156.0,free_fly,38.9484,0.0000,0.3294,0.5978,1.1577,0.0005,36.8388,0.0222,339,13549
105,160.0,free_fly,12.3107,0.0000,0.4251,0.5361,2.3702,0.0003,8.9551,0.0214,334,13549
106,164.0,free_fly,36.0689,0.0000,0.3498,0.6327,1.1707,0.0002,33.8904,0.0225,338,13549
107,168.0,free_fly,40.8318,0.0000,0.4072,0.6266,2.4716,0.0003,37.3014,0.0218,333,13549
108,172.0,free_fly,34.2720,0.0000,0.3455,0.6542,1.0814,0.0004,32.1660,0.0220,337,13549
109,176.0,free_fly,11.5052,0.0000,0.4566,0.6072,2.2402,0.0003,8.1692,0.0203,332,13549
110,180.0,free_fly,33.2045,0.0000,0.3232,0.6068,0.7631,0.0003,31.4862,0.0228,336,13549
111,184.0,free_fly,14.7018,0.0000,0.4250,0.6486,2.5325,0.0003,11.0727,0.0204,331,13549
112,188.0,free_fly,47.8328,0.0000,0.3278,0.6205,0.8011,0.0003,46.0569,0.0238,335,13549
113,192.0,free_fly,16.1785,0.0000,0.5344,0.7187,2.6534,0.0003,12.2479,0.0215,330,13549
114,192.0,free_fly,6.2559,0.0000,0.0000,0.0000,0.7562,0.0004,5.4772,0.0208,334,13549
115,192.0,free_fly,0.9178,0.0001,0.0000,0.0000,0.8615,0.0003,0.0390,0.0158,338,13549
116,192.0,free_fly,0.9319,0.0001,0.0000,0.0000,0.8784,0.0002,0.0366,0.0161,342,13549
117,192.0,free_fly,0.9539,0.0001,0.0000,0.0000,0.9005,0.0003,0.0374,0.0151,346,13549
118,192.0,free_fly,0.9317,0.0000,0.0000,0.0000,0.8784,0.0002,0.0367,0.0157,350,13549
119,192.0,free_fly,0.9376,0.0000,0.0000,0.0000,0.8850,0.0002,0.0367,0.0149,354,13549
120,192.0,free_fly,0.9390,0.0000,0.0000,0.0000,0.8849,0.0002,0.0372,0.0160,358,13549
121,192.0,free_fly,0.7476,0.0000,0.0000,0.0000,0.6959,0.0002,0.0363,0.0144,361,13549
122,192.0,free_fly,0.1771,0.0000,0.0000,0.0000,0.0000,0.0001,0.0270,0.1491,361,13549
123,192.0,free_fly,0.2875,0.0000,0.0000,0.0000,0.0000,0.0003,0.0285,0.2579,361,13549
124,192.0,free_fly,0.2648,0.0001,0.0000,0.0000,0.0000,0.0002,0.0270,0.2368,361,13549
125,192.0,free_fly,0.2643,0.0001,0.0000,0.0000,0.0000,0.0001,0.0269,0.2364,361,13549
126,192.0,free_fly,0.2678,0.0000,0.0000,0.0000,0.0000,0.0002,0.0266,0.2402,361,13549
127,192.0,free_fly,0.2659,0.0000,0.0000,0.0000,0.0000,0.0001,0.0267,0.2384,361,13549
128,192.0,free_fly,0.2719,0.0001,0.0000,0.0000,0.0000,0.0003,0.0269,0.2441,361,13549
129,192.0,free_fly,0.2658,0.0000,0.0000,0.0000,0.0000,0.0003,0.0269,0.2379,361,13549
130,192.0,free_fly,0.4036,0.0000,0.0000,0.0000,0.0000,0.0002,0.0267,0.3759,361,13549
131,192.0,free_fly,0.3684,0.0001,0.0000,0.0000,0.0000,0.0002,0.0296,0.3371,361,13549
132,192.0,free_fly,0.2672,0.0000,0.0000,0.0000,0.0000,0.0004,0.0277,0.2384,361,13549
133,192.0,free_fly,0.2772,0.0000,0.0000,0.0000,0.0000,0.0003,0.0288,0.2473,361,13549
134,192.0,free_fly,0.2666,0.0001,0.0000,0.0000,0.0000,0.0002,0.0279,0.2377,361,13549
135,192.0,free_fly,0.2483,0.0000,0.0000,0.0000,0.0000,0.0002,0.0273,0.2200,361,13549
136,192.0,free_fly,0.2733,0.0000,0.0000,0.0000,0.0000,0.0002,0.0270,0.2454,361,13549
137,192.0,free_fly,0.4156,0.0000,0.0000,0.0000,0.0000,0.0003,0.0276,0.3870,361,13549
138,192.0,free_fly,0.3775,0.0000,0.0000,0.0000,0.0000,0.0003,0.0322,0.3437,361,13549
139,192.0,free_fly,0.3805,0.0001,0.0000,0.0000,0.0000,0.0003,0.0304,0.3484,361,13549
140,192.0,free_fly,0.8615,0.0001,0.0000,0.0000,0.0000,0.0003,0.0303,0.8295,361,13549
141,192.0,free_fly,0.2681,0.0000,0.0000,0.0000,0.0000,0.0001,0.0280,0.2389,361,13549
142,192.0,free_fly,0.2634,0.0000,0.0000,0.0000,0.0000,0.0001,0.0272,0.2351,361,13549
143,192.0,free_fly,0.2654,0.0000,0.0000,0.0000,0.0000,0.0001,0.0265,0.2378,361,13549
144,192.0,free_fly,0.2557,0.0000,0.0000,0.0000,0.0000,0.0001,0.0288,0.2256,361,13549
145,192.0,free_fly,0.2560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0177,0.2379,361,13549
146,192.0,free_fly,0.2555,0.0001,0.0000,0.0000,0.0000,0.0001,0.0139,0.2412,361,13549
147,192.0,free_fly,0.2161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0133,0.2023,361,13549
148,192.0,free_fly,0.2563,0.0000,0.0000,0.0000,0.0000,0.0001,0.0452,0.2099,361,13549
149,192.0,free_fly,0.2555,0.0001,0.0000,0.0000,0.0000,0.0000,0.0269,0.2276,361,13549
150,192.0,free_fly,0.2607,0.0000,0.0000,0.0000,0.0000,0.0001,0.0268,0.2330,361,13549
151,192.0,free_fly,0.2821,0.0000,0.0000,0.0000,0.0000,0.0001,0.0267,0.2544,361,13549
152,192.0,free_fly,0.2634,0.0001,0.0000,0.0000,0.0000,0.0001,0.0267,0.2357,361,13549
153,192.0,free_fly,0.2614,0.0000,0.0000,0.0000,0.0000,0.0001,0.0266,0.2340,361,13549
154,192.0,free_fly,0.2603,0.0000,0.0000,0.0000,0.0000,0.0001,0.0265,0.2328,361,13549
155,192.0,free_fly,0.2610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0266,0.2337,361,13549
156,192.0,free_fly,0.2576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0134,0.2438,361,13549
157,192.0,free_fly,0.2455,0.0001,0.0000,0.0000,0.0000,0.0000,0.0133,0.2319,361,13549
158,192.0,free_fly,0.2182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0132,0.2044,361,13549
159,192.0,free_fly,0.2666,0.0000,0.0000,0.0000,0.0000,0.0001,0.0274,0.2381,361,13549
160,192.0,free_fly,0.2591,0.0000,0.0000,0.0000,0.0000,0.0001,0.0268,0.2314,361,13549
161,192.0,free_fly,0.2354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0225,0.2124,361,13549
162,192.0,free_fly,0.2173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0144,0.2023,361,13549
163,192.0,free_fly,0.2669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0273,0.2385,361,13549
164,192.0,free_fly,0.2621,0.0000,0.0000,0.0000,0.0000,0.0001,0.0268,0.2343,361,13549
