frame,distance_m,cpu_ms,simulation_ms,residency_ms,generation_ms,live_ms,hf_retire_ms,far_field_ms,lookahead_ms,draw_ms,present_ms,pacing_ms,packages_built,far_tiles_built,resident_packages,resident_cells
38,296.0,4.7794,0.0000,0.3774,0.2337,8.3997,0.0003,0.0000,0.0000,0.4326,0.0106,0.0235,51,0,2601,13543
39,304.0,5.7216,0.0000,0.3440,0.2291,8.5952,0.0002,0.0000,0.0000,0.4795,0.0194,0.0175,51,0,2601,13543
40,312.0,4.9461,0.0000,0.3404,0.2310,8.7707,0.0002,0.0000,0.0000,0.5139,0.0185,0.1171,51,0,2601,13543
41,320.0,4.7416,0.0000,0.3591,0.2443,7.6685,0.0003,0.0000,0.0000,0.4602,0.0116,0.0520,51,0,2601,13543
42,328.0,5.1542,0.0000,0.3300,0.2126,7.9860,0.0001,0.0000,0.0000,0.4622,0.0195,0.0172,51,0,2601,13543
43,336.0,4.8541,0.0000,0.3697,0.2254,8.0590,0.0002,0.0000,0.0000,0.4912,0.0187,0.0220,51,0,2601,13543
44,344.0,5.1787,0.0000,0.3959,0.2834,7.8903,0.0003,0.0000,0.0000,0.4782,0.0187,0.0220,51,0,2601,13543
45,352.0,5.0788,0.0000,0.3439,0.2210,8.5200,0.0002,0.0000,0.0000,0.4848,0.0194,0.0216,51,0,2601,13543
46,360.0,4.9703,0.0000,0.3930,0.2367,7.8165,0.0002,0.0000,0.0000,0.5223,0.0197,0.0229,51,0,2601,13543
47,368.0,5.4544,0.0000,0.3618,0.2241,8.2287,0.0002,0.0000,0.0000,0.5012,0.0189,0.0223,51,0,2601,13543
48,376.0,5.0661,0.0000,0.3681,0.2242,8.6313,0.0002,0.0000,0.0000,0.4909,0.0165,0.0229,51,0,2601,13543
49,384.0,5.5008,0.0000,0.4558,0.3038,8.4120,0.0002,0.0000,0.0000,0.5580,0.0190,0.0287,51,0,2601,13543
50,392.0,5.4260,0.0000,0.3949,0.2318,8.9092,0.0003,0.0000,0.0000,0.5221,0.0189,0.0233,51,0,2601,13543
51,400.0,5.0646,0.0000,0.3643,0.2293,8.5656,0.0002,0.0000,0.0000,0.5004,0.0183,0.0222,51,0,2601,13543
52,408.0,5.5383,0.0000,0.3618,0.2201,8.5741,0.0003,0.0000,0.0000,0.6970,0.0381,0.0221,51,0,2601,13543
53,416.0,5.3538,0.0000,0.3824,0.2441,9.2635,0.0002,0.0000,0.0000,0.5538,0.0195,0.0448,51,0,2601,13543
