phase,workload,frame,frame_ms,fps,x,y,cpu_ms,simulation_ms,residency_ms,generation_ms,mesh_ms,draw_ms,collision_ms,new_cells,resident_cells,evicted_cells,packages_built,packages_evicted,memory_bytes
clean_settled,settled,34,30.641900,32.635052,0.500000,0.500000,0.083700,0.002900,0.000000,0.000000,0.000000,0.008200,0.000500,0,12853,0,0,0,0
clean_settled,settled,35,31.158800,32.093662,0.500000,0.500000,0.070100,0.005100,0.000000,0.000000,0.000000,0.013600,0.000800,0,12853,0,0,0,0
clean_settled,settled,36,31.463400,31.782961,0.500000,0.500000,0.038300,0.002400,0.000000,0.000000,0.000000,0.007600,0.000400,0,12853,0,0,0,0
clean_settled,settled,37,30.920100,32.341422,0.500000,0.500000,0.039000,0.002900,0.000000,0.000000,0.000000,0.007400,0.000400,0,12853,0,0,0,0
clean_settled,settled,38,32.020700,31.229798,0.500000,0.500000,0.093300,0.004600,0.000000,0.000000,0.000000,0.014300,0.000700,0,12853,0,0,0,0
clean_settled,settled,39,30.424900,32.867816,0.500000,0.500000,0.037600,0.002400,0.000000,0.000000,0.000000,0.007400,0.000400,0,12853,0,0,0,0
clean_settled,settled,40,31.405500,31.841556,0.500000,0.500000,0.046200,0.002500,0.000000,0.000000,0.000000,0.007500,0.000400,0,12853,0,0,0,0
clean_settled,settled,41,31.634800,31.610758,0.500000,0.500000,0.055000,0.003300,0.000000,0.000000,0.000000,0.009700,0.000500,0,12853,0,0,0,0
clean_settled,settled,42,30.687200,32.586877,0.500000,0.500000,0.071100,0.004500,0.000000,0.000000,0.000000,0.013900,0.000800,0,12853,0,0,0,0
clean_settled,settled,43,30.507500,32.778825,0.500000,0.500000,0.206500,0.002500,0.000000,0.000000,0.000000,0.007500,0.000400,0,12853,0,0,0,0
clean_settled,settled,44,30.519600,32.765829,0.500000,0.500000,0.035100,0.002600,0.000000,0.000000,0.000000,0.007500,0.000400,0,12853,0,0,0,0
clean_settled,settled,45,31.048000,32.208194,0.500000,0.500000,0.037500,0.002600,0.000000,0.000000,0.000000,0.007600,0.000400,0,12853,0,0,0,0
clean_settled,settled,46,31.896300,31.351599,0.500000,0.500000,0.037100,0.002500,0.000000,0.000000,0.000000,0.007200,0.000400,0,12853,0,0,0,0
clean_settled,settled,47,31.144000,32.108913,0.500000,0.500000,0.034300,0.002300,0.000000,0.000000,0.000000,0.006300,0.000400,0,12853,0,0,0,0
