frame,distance_m,cpu_ms,live_ms,far_field_ms,lookahead_ms,draw_ms,packages_built,far_tiles_built,resident_packages,resident_cells
1,0.0,1.2183,0.2686,0.0000,0.0000,0.4137,0,0,9801,12853
2,4.0,1.7698,0.2621,0.0000,0.0000,0.4081,0,0,9801,13363
3,8.0,6.4246,5.3679,0.0000,0.0000,0.5650,4,0,9706,13511
4,12.0,6.4338,5.0137,0.0000,0.0000,0.4775,4,0,9710,13541
5,16.0,121.1102,119.9849,0.0000,0.0000,0.5819,94,0,9705,13547
6,20.0,6.5136,5.5077,0.0000,0.0000,0.4533,4,0,9709,13549
7,24.0,124.2247,123.1725,0.0000,0.0000,0.6700,94,0,9704,13549
8,28.0,7.8113,6.6933,0.0000,0.0000,0.4587,4,0,9708,13549
9,32.0,122.5960,121.5141,0.0000,0.0000,0.7463,94,0,9703,13549
10,36.0,7.4685,6.2350,0.0000,0.0000,0.4583,4,0,9707,13549
11,40.0,121.1512,120.0709,0.0000,0.0000,0.6653,94,0,9702,13549
12,44.0,7.1760,6.0083,0.0000,0.0000,0.4671,4,0,9706,13549
13,48.0,119.7479,118.6491,0.0000,0.0000,0.6882,94,0,9701,13549
14,52.0,5.9926,4.8077,0.0000,0.0000,0.4525,4,0,9705,13549
15,56.0,120.5518,119.4901,0.0000,0.0000,0.6553,94,0,9700,13549
16,60.0,5.1109,3.9379,0.0000,0.0000,0.4745,4,0,9704,13549
17,64.0,120.4365,119.3742,0.0000,0.0000,0.5777,94,0,9699,13549
18,68.0,5.2513,4.1127,0.0000,0.0000,0.4665,4,0,9703,13549
19,72.0,121.8564,120.7772,0.0000,0.0000,0.7515,94,0,9698,13549
20,76.0,6.9018,5.6217,0.0000,0.0000,0.4913,4,0,9702,13549
21,80.0,125.5567,124.2930,0.0000,0.0000,1.3193,94,0,9697,13549
22,84.0,7.9107,6.1829,0.0000,0.0000,0.5554,4,0,9701,13549
23,88.0,126.7883,125.4736,0.0000,0.0000,1.4943,94,0,9696,13549
24,92.0,8.2989,6.4342,0.0000,0.0000,0.6986,4,0,9700,13549
25,96.0,128.4735,126.5106,0.0000,0.0000,1.4877,94,0,9695,13549
26,100.0,9.0367,7.2980,0.0000,0.0000,0.5433,4,0,9699,13549
27,104.0,124.0257,122.7990,0.0000,0.0000,0.7169,94,0,9694,13549
28,108.0,8.5401,7.2230,0.0000,0.0000,0.4588,4,0,9698,13549
29,112.0,119.7748,118.6792,0.0000,0.0000,0.6310,94,0,9693,13549
30,116.0,7.5460,6.3769,0.0000,0.0000,0.4755,4,0,9697,13549
31,120.0,120.7886,119.5369,0.0000,0.0000,0.7620,94,0,9692,13549
32,124.0,6.8503,5.1191,0.0000,0.0000,0.4457,4,0,9696,13549
33,128.0,123.7580,122.6521,0.0000,0.0000,0.6714,94,0,9691,13549
34,132.0,6.3346,5.1001,0.0000,0.0000,0.4714,4,0,9695,13549
35,136.0,124.7864,123.6631,0.0000,0.0000,0.6500,94,0,9690,13549
36,140.0,7.0072,5.8595,0.0000,0.0000,0.4957,4,0,9694,13549
37,144.0,128.6946,127.4629,0.0000,0.0000,1.5745,94,0,9689,13549
38,148.0,8.4968,6.7069,0.0000,0.0000,0.5065,4,0,9693,13549
39,152.0,127.7015,126.4266,0.0000,0.0000,1.4376,94,0,9688,13549
40,156.0,8.8942,6.7417,0.0000,0.0000,0.5897,4,0,9692,13549
41,160.0,130.2575,128.7738,0.0000,0.0000,1.5822,94,0,9687,13549
42,164.0,7.5865,5.7464,0.0000,0.0000,0.5685,4,0,9691,13549
43,168.0,121.9523,120.6371,0.0000,0.0000,0.9475,94,0,9686,13549
44,172.0,7.4618,5.9820,0.0000,0.0000,0.4721,4,0,9690,13549
45,176.0,123.4026,122.2634,0.0000,0.0000,0.6764,94,0,9685,13549
46,180.0,6.6208,5.4135,0.0000,0.0000,0.4407,4,0,9689,13549
47,184.0,122.0697,120.9442,0.0000,0.0000,0.6754,94,0,9684,13549
48,188.0,6.1282,4.8538,0.0000,0.0000,0.4608,4,0,9688,13549
49,192.0,122.9455,121.8719,0.0000,0.0000,0.5723,94,0,9683,13549
50,196.0,6.5066,5.4224,0.0000,0.0000,0.4445,4,0,9687,13549
51,200.0,122.9154,121.8494,0.0000,0.0000,0.5728,94,0,9682,13549
52,204.0,7.1705,6.1181,0.0000,0.0000,0.5009,4,0,9686,13549
53,208.0,124.0317,122.9482,0.0000,0.0000,0.6466,94,0,9681,13549
54,212.0,7.3119,6.1274,0.0000,0.0000,0.4440,4,0,9685,13549
55,216.0,125.5099,124.4398,0.0000,0.0000,0.6481,94,0,9680,13549
56,220.0,7.1546,5.9866,0.0000,0.0000,0.4456,4,0,9684,13549
57,224.0,124.5724,123.4703,0.0000,0.0000,0.7074,94,0,9679,13549
58,228.0,7.7732,6.4410,0.0000,0.0000,0.5601,4,0,9683,13549
59,232.0,123.4891,122.1699,0.0000,0.0000,0.6699,94,0,9678,13549
60,236.0,7.7316,6.5808,0.0000,0.0000,0.4537,4,0,9682,13549
61,240.0,124.2016,122.9986,0.0000,0.0000,0.7656,94,0,9677,13549
62,244.0,6.8750,5.7124,0.0000,0.0000,0.4359,4,0,9681,13549
63,248.0,122.1876,121.1411,0.0000,0.0000,0.5398,94,0,9676,13549
64,252.0,6.5828,5.5268,0.0000,0.0000,0.4228,4,0,9680,13549
65,256.0,125.4667,124.4320,0.0000,0.0000,0.5730,94,0,9675,13549
66,260.0,7.7728,6.6824,0.0000,0.0000,0.4354,4,0,9679,13549
67,264.0,120.9894,119.9410,0.0000,0.0000,0.6134,94,0,9674,13549
68,268.0,7.3613,6.1992,0.0000,0.0000,0.4383,4,0,9678,13549
69,272.0,123.6445,122.5897,0.0000,0.0000,0.5913,94,0,9673,13549
70,276.0,6.1198,5.0129,0.0000,0.0000,0.4225,4,0,9677,13549
71,280.0,121.3857,120.2794,0.0000,0.0000,0.6846,94,0,9672,13549
72,284.0,7.0617,5.8072,0.0000,0.0000,0.4364,4,0,9676,13549
73,288.0,120.0478,118.9735,0.0000,0.0000,0.6455,94,0,9671,13549
74,292.0,6.9307,5.6837,0.0000,0.0000,0.4693,4,0,9675,13549
75,296.0,122.4792,121.3014,0.0000,0.0000,0.6622,94,0,9670,13549
76,300.0,6.6285,5.4136,0.0000,0.0000,0.4400,4,0,9674,13549
77,304.0,123.6239,122.5537,0.0000,0.0000,0.6319,94,0,9669,13549
78,308.0,7.1418,5.9779,0.0000,0.0000,0.4465,4,0,9673,13549
79,312.0,123.7859,122.6820,0.0000,0.0000,0.5815,94,0,9668,13549
80,316.0,7.2419,6.1394,0.0000,0.0000,0.4303,4,0,9672,13549
81,320.0,121.9129,120.8645,0.0000,0.0000,0.5403,94,0,9667,13549
82,324.0,8.1392,7.0815,0.0000,0.0000,0.4347,4,0,9671,13549
83,328.0,122.8698,121.8104,0.0000,0.0000,0.6317,94,0,9666,13549
84,332.0,7.1518,5.9518,0.0000,0.0000,0.4527,4,0,9670,13549
85,336.0,121.1010,120.0264,0.0000,0.0000,0.5519,94,0,9665,13549
86,340.0,6.2382,5.1647,0.0000,0.0000,0.4587,4,0,9669,13549
87,344.0,122.4092,121.2945,0.0000,0.0000,0.6505,94,0,9664,13549
